subject_20, Fold 0, Epoch 1, Train ACC: 0.2321, Val ACC: 0.2321
subject_20, Fold 0, Epoch 2, Train ACC: 0.4018, Val ACC: 0.4643
subject_20, Fold 0, Epoch 3, Train ACC: 0.5446, Val ACC: 0.5536
subject_20, Fold 0, Epoch 4, Train ACC: 0.5625, Val ACC: 0.4464
subject_20, Fold 0, Epoch 5, Train ACC: 0.6071, Val ACC: 0.4821
subject_20, Fold 0, Epoch 6, Train ACC: 0.7232, Val ACC: 0.4464
subject_20, Fold 0, Epoch 7, Train ACC: 0.6607, Val ACC: 0.5714
subject_20, Fold 0, Epoch 8, Train ACC: 0.7188, Val ACC: 0.5179
subject_20, Fold 0, Epoch 9, Train ACC: 0.7009, Val ACC: 0.5000
subject_20, Fold 0, Epoch 10, Train ACC: 0.7455, Val ACC: 0.5536
subject_20, Fold 0, Epoch 11, Train ACC: 0.7500, Val ACC: 0.4821
subject_20, Fold 0, Epoch 12, Train ACC: 0.8125, Val ACC: 0.5000
subject_20, Fold 0, Epoch 13, Train ACC: 0.7634, Val ACC: 0.5357
subject_20, Fold 0, Epoch 14, Train ACC: 0.7946, Val ACC: 0.5357
subject_20, Fold 0, Epoch 15, Train ACC: 0.8125, Val ACC: 0.5714
subject_20, Fold 0, Epoch 16, Train ACC: 0.8304, Val ACC: 0.5714
subject_20, Fold 0, Epoch 17, Train ACC: 0.8482, Val ACC: 0.5357
subject_20, Fold 0, Best Epoch: 7, Final Val ACC: 0.5714, Final Val F1: 0.5329

subject_20, Fold 0, Epoch 1, Train ACC: 0.6607, Val ACC: 0.5179
subject_20, Fold 0, Epoch 2, Train ACC: 0.8616, Val ACC: 0.6786
subject_20, Fold 0, Epoch 3, Train ACC: 0.9554, Val ACC: 0.6250
subject_20, Fold 0, Epoch 4, Train ACC: 0.9955, Val ACC: 0.6786
subject_20, Fold 0, Epoch 5, Train ACC: 1.0000, Val ACC: 0.6786
subject_20, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.6429
subject_20, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.6786
subject_20, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.6607
subject_20, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.6607
subject_20, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.6607
subject_20, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.6964
subject_20, Fold 0, Epoch 12, Train ACC: 1.0000, Val ACC: 0.7143
subject_20, Fold 0, Epoch 13, Train ACC: 1.0000, Val ACC: 0.6786
subject_20, Fold 0, Epoch 14, Train ACC: 1.0000, Val ACC: 0.7143
subject_20, Fold 0, Epoch 15, Train ACC: 1.0000, Val ACC: 0.6964
subject_20, Fold 0, Epoch 16, Train ACC: 1.0000, Val ACC: 0.7143
subject_20, Fold 0, Epoch 17, Train ACC: 1.0000, Val ACC: 0.7143
subject_20, Fold 0, Epoch 18, Train ACC: 1.0000, Val ACC: 0.7143
subject_20, Fold 0, Epoch 19, Train ACC: 1.0000, Val ACC: 0.7321
subject_20, Fold 0, Epoch 20, Train ACC: 1.0000, Val ACC: 0.6964
subject_20, Fold 0, Epoch 21, Train ACC: 1.0000, Val ACC: 0.7143
subject_20, Fold 0, Epoch 22, Train ACC: 1.0000, Val ACC: 0.7321
subject_20, Fold 0, Epoch 23, Train ACC: 1.0000, Val ACC: 0.7143
subject_20, Fold 0, Epoch 24, Train ACC: 1.0000, Val ACC: 0.7321
subject_20, Fold 0, Epoch 25, Train ACC: 1.0000, Val ACC: 0.7321
subject_20, Fold 0, Epoch 26, Train ACC: 1.0000, Val ACC: 0.7143
subject_20, Fold 0, Epoch 27, Train ACC: 1.0000, Val ACC: 0.7143
subject_20, Fold 0, Epoch 28, Train ACC: 1.0000, Val ACC: 0.7143
subject_20, Fold 0, Epoch 29, Train ACC: 1.0000, Val ACC: 0.7143
subject_20, Fold 0, Best Epoch: 19, Final Val ACC: 0.7321, Final Val F1: 0.7269

subject_20, Fold 1, Epoch 1, Train ACC: 0.2143, Val ACC: 0.2679
subject_20, Fold 1, Epoch 2, Train ACC: 0.4152, Val ACC: 0.4464
subject_20, Fold 1, Epoch 3, Train ACC: 0.4777, Val ACC: 0.5536
subject_20, Fold 1, Epoch 4, Train ACC: 0.6295, Val ACC: 0.6429
subject_20, Fold 1, Epoch 5, Train ACC: 0.6652, Val ACC: 0.5714
subject_20, Fold 1, Epoch 6, Train ACC: 0.6607, Val ACC: 0.6250
subject_20, Fold 1, Epoch 7, Train ACC: 0.6830, Val ACC: 0.5893
subject_20, Fold 1, Epoch 8, Train ACC: 0.6920, Val ACC: 0.6786
subject_20, Fold 1, Epoch 9, Train ACC: 0.7009, Val ACC: 0.5536
subject_20, Fold 1, Epoch 10, Train ACC: 0.7366, Val ACC: 0.6429
subject_20, Fold 1, Epoch 11, Train ACC: 0.7277, Val ACC: 0.6250
subject_20, Fold 1, Epoch 12, Train ACC: 0.7098, Val ACC: 0.6250
subject_20, Fold 1, Epoch 13, Train ACC: 0.7411, Val ACC: 0.6607
subject_20, Fold 1, Epoch 14, Train ACC: 0.7679, Val ACC: 0.6786
subject_20, Fold 1, Epoch 15, Train ACC: 0.7857, Val ACC: 0.6786
subject_20, Fold 1, Epoch 16, Train ACC: 0.7857, Val ACC: 0.6429
subject_20, Fold 1, Epoch 17, Train ACC: 0.7723, Val ACC: 0.6964
subject_20, Fold 1, Epoch 18, Train ACC: 0.7768, Val ACC: 0.6786
subject_20, Fold 1, Epoch 19, Train ACC: 0.8125, Val ACC: 0.6964
subject_20, Fold 1, Epoch 20, Train ACC: 0.8214, Val ACC: 0.6964
subject_20, Fold 1, Epoch 21, Train ACC: 0.8170, Val ACC: 0.7143
subject_20, Fold 1, Epoch 22, Train ACC: 0.8438, Val ACC: 0.6964
subject_20, Fold 1, Epoch 23, Train ACC: 0.8616, Val ACC: 0.7143
subject_20, Fold 1, Epoch 24, Train ACC: 0.8393, Val ACC: 0.6964
subject_20, Fold 1, Epoch 25, Train ACC: 0.8527, Val ACC: 0.7321
subject_20, Fold 1, Epoch 26, Train ACC: 0.8482, Val ACC: 0.7321
subject_20, Fold 1, Epoch 27, Train ACC: 0.8705, Val ACC: 0.7143
subject_20, Fold 1, Epoch 28, Train ACC: 0.8795, Val ACC: 0.7143
subject_20, Fold 1, Epoch 29, Train ACC: 0.8705, Val ACC: 0.7143
subject_20, Fold 1, Epoch 30, Train ACC: 0.9062, Val ACC: 0.6964
subject_20, Fold 1, Epoch 31, Train ACC: 0.8839, Val ACC: 0.6607
subject_20, Fold 1, Epoch 32, Train ACC: 0.8929, Val ACC: 0.7143
subject_20, Fold 1, Epoch 33, Train ACC: 0.9062, Val ACC: 0.7143
subject_20, Fold 1, Epoch 34, Train ACC: 0.9018, Val ACC: 0.7321
subject_20, Fold 1, Epoch 35, Train ACC: 0.8839, Val ACC: 0.7321
subject_20, Fold 1, Best Epoch: 25, Final Val ACC: 0.7321, Final Val F1: 0.7157

subject_20, Fold 1, Epoch 1, Train ACC: 0.7991, Val ACC: 0.6964
subject_20, Fold 1, Epoch 2, Train ACC: 0.9464, Val ACC: 0.6429
subject_20, Fold 1, Epoch 3, Train ACC: 0.9955, Val ACC: 0.6607
subject_20, Fold 1, Epoch 4, Train ACC: 0.9955, Val ACC: 0.6786
subject_20, Fold 1, Epoch 5, Train ACC: 1.0000, Val ACC: 0.6964
subject_20, Fold 1, Epoch 6, Train ACC: 1.0000, Val ACC: 0.6607
subject_20, Fold 1, Epoch 7, Train ACC: 1.0000, Val ACC: 0.6786
subject_20, Fold 1, Epoch 8, Train ACC: 1.0000, Val ACC: 0.6964
subject_20, Fold 1, Epoch 9, Train ACC: 1.0000, Val ACC: 0.6964
subject_20, Fold 1, Epoch 10, Train ACC: 1.0000, Val ACC: 0.6964
subject_20, Fold 1, Epoch 11, Train ACC: 1.0000, Val ACC: 0.6786
subject_20, Fold 1, Best Epoch: 1, Final Val ACC: 0.6964, Final Val F1: 0.6826

subject_20, Fold 2, Epoch 1, Train ACC: 0.3036, Val ACC: 0.4107
subject_20, Fold 2, Epoch 2, Train ACC: 0.4598, Val ACC: 0.4643
subject_20, Fold 2, Epoch 3, Train ACC: 0.5312, Val ACC: 0.4464
subject_20, Fold 2, Epoch 4, Train ACC: 0.5670, Val ACC: 0.5714
subject_20, Fold 2, Epoch 5, Train ACC: 0.6384, Val ACC: 0.4643
subject_20, Fold 2, Epoch 6, Train ACC: 0.6696, Val ACC: 0.5714
subject_20, Fold 2, Epoch 7, Train ACC: 0.7098, Val ACC: 0.5536
subject_20, Fold 2, Epoch 8, Train ACC: 0.6830, Val ACC: 0.6250
subject_20, Fold 2, Epoch 9, Train ACC: 0.7098, Val ACC: 0.5357
subject_20, Fold 2, Epoch 10, Train ACC: 0.7500, Val ACC: 0.6607
subject_20, Fold 2, Epoch 11, Train ACC: 0.7634, Val ACC: 0.5536
subject_20, Fold 2, Epoch 12, Train ACC: 0.7589, Val ACC: 0.5893
subject_20, Fold 2, Epoch 13, Train ACC: 0.7723, Val ACC: 0.5893
subject_20, Fold 2, Epoch 14, Train ACC: 0.7589, Val ACC: 0.6250
subject_20, Fold 2, Epoch 15, Train ACC: 0.7679, Val ACC: 0.4821
subject_20, Fold 2, Epoch 16, Train ACC: 0.7589, Val ACC: 0.6071
subject_20, Fold 2, Epoch 17, Train ACC: 0.7768, Val ACC: 0.6071
subject_20, Fold 2, Epoch 18, Train ACC: 0.7946, Val ACC: 0.5893
subject_20, Fold 2, Epoch 19, Train ACC: 0.8393, Val ACC: 0.5893
subject_20, Fold 2, Epoch 20, Train ACC: 0.8170, Val ACC: 0.6250
subject_20, Fold 2, Best Epoch: 10, Final Val ACC: 0.6607, Final Val F1: 0.6528

subject_20, Fold 2, Epoch 1, Train ACC: 0.6562, Val ACC: 0.6250
subject_20, Fold 2, Epoch 2, Train ACC: 0.8482, Val ACC: 0.6429
subject_20, Fold 2, Epoch 3, Train ACC: 0.9509, Val ACC: 0.7500
subject_20, Fold 2, Epoch 4, Train ACC: 0.9955, Val ACC: 0.6964
subject_20, Fold 2, Epoch 5, Train ACC: 1.0000, Val ACC: 0.7679
subject_20, Fold 2, Epoch 6, Train ACC: 1.0000, Val ACC: 0.7857
