subject_21, Fold 0, Epoch 1, Train ACC: 0.2277, Val ACC: 0.3929
subject_21, Fold 0, Epoch 2, Train ACC: 0.3795, Val ACC: 0.3750
subject_21, Fold 0, Epoch 3, Train ACC: 0.4420, Val ACC: 0.4107
subject_21, Fold 0, Epoch 4, Train ACC: 0.5982, Val ACC: 0.5893
subject_21, Fold 0, Epoch 5, Train ACC: 0.5714, Val ACC: 0.5536
subject_21, Fold 0, Epoch 6, Train ACC: 0.5670, Val ACC: 0.5179
subject_21, Fold 0, Epoch 7, Train ACC: 0.5714, Val ACC: 0.6071
subject_21, Fold 0, Epoch 8, Train ACC: 0.6339, Val ACC: 0.6250
subject_21, Fold 0, Epoch 9, Train ACC: 0.6607, Val ACC: 0.6607
subject_21, Fold 0, Epoch 10, Train ACC: 0.6830, Val ACC: 0.6429
subject_21, Fold 0, Epoch 11, Train ACC: 0.6652, Val ACC: 0.6250
subject_21, Fold 0, Epoch 12, Train ACC: 0.6830, Val ACC: 0.6607
subject_21, Fold 0, Epoch 13, Train ACC: 0.6920, Val ACC: 0.6607
subject_21, Fold 0, Epoch 14, Train ACC: 0.7366, Val ACC: 0.6607
subject_21, Fold 0, Epoch 15, Train ACC: 0.7589, Val ACC: 0.6607
subject_21, Fold 0, Epoch 16, Train ACC: 0.7545, Val ACC: 0.6250
subject_21, Fold 0, Epoch 17, Train ACC: 0.7589, Val ACC: 0.6786
subject_21, Fold 0, Epoch 18, Train ACC: 0.7589, Val ACC: 0.6607
subject_21, Fold 0, Epoch 19, Train ACC: 0.7902, Val ACC: 0.6607
subject_21, Fold 0, Epoch 20, Train ACC: 0.7812, Val ACC: 0.7143
subject_21, Fold 0, Epoch 21, Train ACC: 0.7991, Val ACC: 0.6429
subject_21, Fold 0, Epoch 22, Train ACC: 0.7768, Val ACC: 0.6786
subject_21, Fold 0, Epoch 23, Train ACC: 0.8170, Val ACC: 0.6964
subject_21, Fold 0, Epoch 24, Train ACC: 0.7991, Val ACC: 0.6786
subject_21, Fold 0, Epoch 25, Train ACC: 0.7723, Val ACC: 0.6964
subject_21, Fold 0, Epoch 26, Train ACC: 0.8036, Val ACC: 0.6786
subject_21, Fold 0, Epoch 27, Train ACC: 0.7946, Val ACC: 0.7500
subject_21, Fold 0, Epoch 28, Train ACC: 0.8214, Val ACC: 0.6786
subject_21, Fold 0, Epoch 29, Train ACC: 0.8393, Val ACC: 0.6786
subject_21, Fold 0, Epoch 30, Train ACC: 0.8080, Val ACC: 0.6429
subject_21, Fold 0, Epoch 31, Train ACC: 0.8438, Val ACC: 0.6786
subject_21, Fold 0, Epoch 32, Train ACC: 0.8527, Val ACC: 0.7143
subject_21, Fold 0, Epoch 33, Train ACC: 0.8304, Val ACC: 0.6964
subject_21, Fold 0, Epoch 34, Train ACC: 0.8571, Val ACC: 0.6607
subject_21, Fold 0, Epoch 35, Train ACC: 0.8348, Val ACC: 0.7321
subject_21, Fold 0, Epoch 36, Train ACC: 0.8705, Val ACC: 0.6964
subject_21, Fold 0, Epoch 37, Train ACC: 0.8571, Val ACC: 0.6786
subject_21, Fold 0, Best Epoch: 27, Final Val ACC: 0.7500, Final Val F1: 0.7487

subject_21, Fold 0, Epoch 1, Train ACC: 0.7009, Val ACC: 0.6607
subject_21, Fold 0, Epoch 2, Train ACC: 0.9018, Val ACC: 0.7321
subject_21, Fold 0, Epoch 3, Train ACC: 0.9911, Val ACC: 0.7143
subject_21, Fold 0, Epoch 4, Train ACC: 0.9955, Val ACC: 0.7321
subject_21, Fold 0, Epoch 5, Train ACC: 1.0000, Val ACC: 0.7143
subject_21, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.7143
subject_21, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.7321
subject_21, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.6964
subject_21, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.7143
subject_21, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.7143
subject_21, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.6964
subject_21, Fold 0, Epoch 12, Train ACC: 1.0000, Val ACC: 0.6964
subject_21, Fold 0, Best Epoch: 2, Final Val ACC: 0.7321, Final Val F1: 0.7334

subject_21, Fold 1, Epoch 1, Train ACC: 0.2411, Val ACC: 0.2679
subject_21, Fold 1, Epoch 2, Train ACC: 0.3438, Val ACC: 0.3214
subject_21, Fold 1, Epoch 3, Train ACC: 0.4643, Val ACC: 0.4107
subject_21, Fold 1, Epoch 4, Train ACC: 0.5268, Val ACC: 0.5000
subject_21, Fold 1, Epoch 5, Train ACC: 0.5491, Val ACC: 0.4821
subject_21, Fold 1, Epoch 6, Train ACC: 0.5580, Val ACC: 0.5000
subject_21, Fold 1, Epoch 7, Train ACC: 0.6161, Val ACC: 0.5714
subject_21, Fold 1, Epoch 8, Train ACC: 0.6161, Val ACC: 0.5179
subject_21, Fold 1, Epoch 9, Train ACC: 0.6786, Val ACC: 0.5357
subject_21, Fold 1, Epoch 10, Train ACC: 0.6518, Val ACC: 0.5536
subject_21, Fold 1, Epoch 11, Train ACC: 0.7009, Val ACC: 0.5536
subject_21, Fold 1, Epoch 12, Train ACC: 0.7188, Val ACC: 0.4821
subject_21, Fold 1, Epoch 13, Train ACC: 0.7009, Val ACC: 0.6071
subject_21, Fold 1, Epoch 14, Train ACC: 0.7098, Val ACC: 0.5893
subject_21, Fold 1, Epoch 15, Train ACC: 0.7277, Val ACC: 0.5893
subject_21, Fold 1, Epoch 16, Train ACC: 0.6964, Val ACC: 0.5357
subject_21, Fold 1, Epoch 17, Train ACC: 0.7321, Val ACC: 0.4821
subject_21, Fold 1, Epoch 18, Train ACC: 0.7634, Val ACC: 0.6071
subject_21, Fold 1, Epoch 19, Train ACC: 0.7634, Val ACC: 0.5893
subject_21, Fold 1, Epoch 20, Train ACC: 0.7723, Val ACC: 0.5179
subject_21, Fold 1, Epoch 21, Train ACC: 0.8080, Val ACC: 0.6071
subject_21, Fold 1, Epoch 22, Train ACC: 0.7545, Val ACC: 0.5536
subject_21, Fold 1, Epoch 23, Train ACC: 0.7857, Val ACC: 0.5893
subject_21, Fold 1, Best Epoch: 13, Final Val ACC: 0.6071, Final Val F1: 0.5913

subject_21, Fold 1, Epoch 1, Train ACC: 0.6384, Val ACC: 0.5714
subject_21, Fold 1, Epoch 2, Train ACC: 0.7991, Val ACC: 0.5714
subject_21, Fold 1, Epoch 3, Train ACC: 0.9062, Val ACC: 0.6250
subject_21, Fold 1, Epoch 4, Train ACC: 0.9732, Val ACC: 0.6429
subject_21, Fold 1, Epoch 5, Train ACC: 1.0000, Val ACC: 0.6429
subject_21, Fold 1, Epoch 6, Train ACC: 1.0000, Val ACC: 0.6250
subject_21, Fold 1, Epoch 7, Train ACC: 1.0000, Val ACC: 0.6250
subject_21, Fold 1, Epoch 8, Train ACC: 1.0000, Val ACC: 0.6071
subject_21, Fold 1, Epoch 9, Train ACC: 1.0000, Val ACC: 0.6071
