AllSubjectsCV, Fold 0, Epoch 18, Train ACC: 0.9864, Val ACC: 0.6977
AllSubjectsCV, Fold 0, Epoch 19, Train ACC: 0.9959, Val ACC: 0.6760
AllSubjectsCV, Fold 0, Epoch 20, Train ACC: 0.9852, Val ACC: 0.7100
AllSubjectsCV, Fold 0, Epoch 21, Train ACC: 0.9983, Val ACC: 0.7202
AllSubjectsCV, Fold 0, Epoch 22, Train ACC: 0.9828, Val ACC: 0.6896
AllSubjectsCV, Fold 0, Epoch 23, Train ACC: 0.9952, Val ACC: 0.7270
AllSubjectsCV, Fold 0, Epoch 24, Train ACC: 1.0000, Val ACC: 0.7338
AllSubjectsCV, Fold 0, Epoch 25, Train ACC: 1.0000, Val ACC: 0.7309
AllSubjectsCV, Fold 0, Epoch 26, Train ACC: 1.0000, Val ACC: 0.7351
AllSubjectsCV, Fold 0, Epoch 27, Train ACC: 1.0000, Val ACC: 0.7394
AllSubjectsCV, Fold 0, Epoch 28, Train ACC: 1.0000, Val ACC: 0.7368
AllSubjectsCV, Fold 0, Epoch 29, Train ACC: 1.0000, Val ACC: 0.7389
AllSubjectsCV, Fold 0, Epoch 30, Train ACC: 1.0000, Val ACC: 0.7398
AllSubjectsCV, Fold 0, Epoch 31, Train ACC: 1.0000, Val ACC: 0.7411
AllSubjectsCV, Fold 0, Epoch 32, Train ACC: 1.0000, Val ACC: 0.7385
AllSubjectsCV, Fold 0, Epoch 33, Train ACC: 1.0000, Val ACC: 0.7398
AllSubjectsCV, Fold 0, Epoch 34, Train ACC: 1.0000, Val ACC: 0.7415
AllSubjectsCV, Fold 0, Epoch 35, Train ACC: 1.0000, Val ACC: 0.7423
AllSubjectsCV, Fold 0, Epoch 36, Train ACC: 1.0000, Val ACC: 0.7453
AllSubjectsCV, Fold 0, Epoch 37, Train ACC: 1.0000, Val ACC: 0.7466
AllSubjectsCV, Fold 0, Epoch 38, Train ACC: 1.0000, Val ACC: 0.7457
AllSubjectsCV, Fold 0, Epoch 39, Train ACC: 1.0000, Val ACC: 0.7436
AllSubjectsCV, Fold 0, Epoch 40, Train ACC: 1.0000, Val ACC: 0.7440
AllSubjectsCV, Fold 0, Epoch 41, Train ACC: 1.0000, Val ACC: 0.7445
AllSubjectsCV, Fold 0, Epoch 42, Train ACC: 1.0000, Val ACC: 0.7436
AllSubjectsCV, Fold 0, Epoch 43, Train ACC: 1.0000, Val ACC: 0.7453
AllSubjectsCV, Fold 0, Epoch 44, Train ACC: 1.0000, Val ACC: 0.7466
AllSubjectsCV, Fold 0, Epoch 45, Train ACC: 1.0000, Val ACC: 0.7402
