subject_25, Fold 0, Epoch 1, Train ACC: 0.2054, Val ACC: 0.3393
subject_25, Fold 0, Epoch 2, Train ACC: 0.4018, Val ACC: 0.2857
subject_25, Fold 0, Epoch 3, Train ACC: 0.4509, Val ACC: 0.3929
subject_25, Fold 0, Epoch 4, Train ACC: 0.4866, Val ACC: 0.3393
subject_25, Fold 0, Epoch 5, Train ACC: 0.5402, Val ACC: 0.4286
subject_25, Fold 0, Epoch 6, Train ACC: 0.5223, Val ACC: 0.4286
subject_25, Fold 0, Epoch 7, Train ACC: 0.5938, Val ACC: 0.4643
subject_25, Fold 0, Epoch 8, Train ACC: 0.5938, Val ACC: 0.5000
subject_25, Fold 0, Epoch 9, Train ACC: 0.5580, Val ACC: 0.4107
subject_25, Fold 0, Epoch 10, Train ACC: 0.6339, Val ACC: 0.4107
subject_25, Fold 0, Epoch 11, Train ACC: 0.6339, Val ACC: 0.4464
subject_25, Fold 0, Epoch 12, Train ACC: 0.6562, Val ACC: 0.4643
subject_25, Fold 0, Epoch 13, Train ACC: 0.6875, Val ACC: 0.4643
subject_25, Fold 0, Epoch 14, Train ACC: 0.6964, Val ACC: 0.4643
subject_25, Fold 0, Epoch 15, Train ACC: 0.7009, Val ACC: 0.4464
subject_25, Fold 0, Epoch 16, Train ACC: 0.7545, Val ACC: 0.5357
subject_25, Fold 0, Epoch 17, Train ACC: 0.7589, Val ACC: 0.3750
subject_25, Fold 0, Epoch 18, Train ACC: 0.6875, Val ACC: 0.4464
subject_25, Fold 0, Epoch 19, Train ACC: 0.7143, Val ACC: 0.5000
subject_25, Fold 0, Epoch 20, Train ACC: 0.7188, Val ACC: 0.5179
subject_25, Fold 0, Epoch 21, Train ACC: 0.7098, Val ACC: 0.5536
subject_25, Fold 0, Epoch 22, Train ACC: 0.7857, Val ACC: 0.4464
subject_25, Fold 0, Epoch 23, Train ACC: 0.7902, Val ACC: 0.4643
subject_25, Fold 0, Epoch 24, Train ACC: 0.7455, Val ACC: 0.4821
subject_25, Fold 0, Epoch 25, Train ACC: 0.8036, Val ACC: 0.4821
subject_25, Fold 0, Epoch 26, Train ACC: 0.7768, Val ACC: 0.4286
subject_25, Fold 0, Epoch 27, Train ACC: 0.8348, Val ACC: 0.5179
subject_25, Fold 0, Epoch 28, Train ACC: 0.7946, Val ACC: 0.5179
subject_25, Fold 0, Epoch 29, Train ACC: 0.8259, Val ACC: 0.4821
subject_25, Fold 0, Epoch 30, Train ACC: 0.8214, Val ACC: 0.4821
subject_25, Fold 0, Epoch 31, Train ACC: 0.8438, Val ACC: 0.4821
subject_25, Fold 0, Best Epoch: 21, Final Val ACC: 0.5536, Final Val F1: 0.5396

subject_25, Fold 0, Epoch 1, Train ACC: 0.6920, Val ACC: 0.5536
subject_25, Fold 0, Epoch 2, Train ACC: 0.8527, Val ACC: 0.4821
subject_25, Fold 0, Epoch 3, Train ACC: 0.9688, Val ACC: 0.5357
subject_25, Fold 0, Epoch 4, Train ACC: 1.0000, Val ACC: 0.5179
subject_25, Fold 0, Epoch 5, Train ACC: 1.0000, Val ACC: 0.5179
subject_25, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.5714
subject_25, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.5714
subject_25, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.5179
subject_25, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.5357
subject_25, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.5357
subject_25, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.5357
subject_25, Fold 0, Epoch 12, Train ACC: 1.0000, Val ACC: 0.5357
subject_25, Fold 0, Epoch 13, Train ACC: 1.0000, Val ACC: 0.5357
subject_25, Fold 0, Epoch 14, Train ACC: 1.0000, Val ACC: 0.5357
subject_25, Fold 0, Epoch 15, Train ACC: 1.0000, Val ACC: 0.5357
subject_25, Fold 0, Epoch 16, Train ACC: 1.0000, Val ACC: 0.5357
subject_25, Fold 0, Best Epoch: 6, Final Val ACC: 0.5714, Final Val F1: 0.5631

subject_25, Fold 1, Epoch 1, Train ACC: 0.2321, Val ACC: 0.2321
subject_25, Fold 1, Epoch 2, Train ACC: 0.2902, Val ACC: 0.4286
subject_25, Fold 1, Epoch 3, Train ACC: 0.4062, Val ACC: 0.4821
subject_25, Fold 1, Epoch 4, Train ACC: 0.5223, Val ACC: 0.4643
subject_25, Fold 1, Epoch 5, Train ACC: 0.4955, Val ACC: 0.5000
subject_25, Fold 1, Epoch 6, Train ACC: 0.5625, Val ACC: 0.4464
subject_25, Fold 1, Epoch 7, Train ACC: 0.5670, Val ACC: 0.4821
subject_25, Fold 1, Epoch 8, Train ACC: 0.5982, Val ACC: 0.5179
subject_25, Fold 1, Epoch 9, Train ACC: 0.6429, Val ACC: 0.5179
subject_25, Fold 1, Epoch 10, Train ACC: 0.6295, Val ACC: 0.4821
subject_25, Fold 1, Epoch 11, Train ACC: 0.6875, Val ACC: 0.4643
subject_25, Fold 1, Epoch 12, Train ACC: 0.6741, Val ACC: 0.4643
subject_25, Fold 1, Epoch 13, Train ACC: 0.6741, Val ACC: 0.4286
subject_25, Fold 1, Epoch 14, Train ACC: 0.6652, Val ACC: 0.4821
subject_25, Fold 1, Epoch 15, Train ACC: 0.6920, Val ACC: 0.5357
subject_25, Fold 1, Epoch 16, Train ACC: 0.7277, Val ACC: 0.5357
subject_25, Fold 1, Epoch 17, Train ACC: 0.6830, Val ACC: 0.5000
subject_25, Fold 1, Epoch 18, Train ACC: 0.7098, Val ACC: 0.5536
subject_25, Fold 1, Epoch 19, Train ACC: 0.6920, Val ACC: 0.4821
subject_25, Fold 1, Epoch 20, Train ACC: 0.7321, Val ACC: 0.4821
subject_25, Fold 1, Epoch 21, Train ACC: 0.7455, Val ACC: 0.5357
