subject_17, Fold 0, Epoch 1, Train ACC: 0.2679, Val ACC: 0.3036
subject_17, Fold 0, Epoch 2, Train ACC: 0.4464, Val ACC: 0.4286
subject_17, Fold 0, Epoch 3, Train ACC: 0.5536, Val ACC: 0.3571
subject_17, Fold 0, Epoch 4, Train ACC: 0.5580, Val ACC: 0.5179
subject_17, Fold 0, Epoch 5, Train ACC: 0.6384, Val ACC: 0.5536
subject_17, Fold 0, Epoch 6, Train ACC: 0.6250, Val ACC: 0.5893
subject_17, Fold 0, Epoch 7, Train ACC: 0.6786, Val ACC: 0.6429
subject_17, Fold 0, Epoch 8, Train ACC: 0.6964, Val ACC: 0.5357
subject_17, Fold 0, Epoch 9, Train ACC: 0.7054, Val ACC: 0.5536
subject_17, Fold 0, Epoch 10, Train ACC: 0.7455, Val ACC: 0.5893
subject_17, Fold 0, Epoch 11, Train ACC: 0.7589, Val ACC: 0.6250
subject_17, Fold 0, Epoch 12, Train ACC: 0.7812, Val ACC: 0.6964
subject_17, Fold 0, Epoch 13, Train ACC: 0.7857, Val ACC: 0.5536
subject_17, Fold 0, Epoch 14, Train ACC: 0.7812, Val ACC: 0.6786
subject_17, Fold 0, Epoch 15, Train ACC: 0.8170, Val ACC: 0.6250
subject_17, Fold 0, Epoch 16, Train ACC: 0.8214, Val ACC: 0.6250
subject_17, Fold 0, Epoch 17, Train ACC: 0.8214, Val ACC: 0.6429
subject_17, Fold 0, Epoch 18, Train ACC: 0.8214, Val ACC: 0.6964
subject_17, Fold 0, Epoch 19, Train ACC: 0.8170, Val ACC: 0.6607
subject_17, Fold 0, Epoch 20, Train ACC: 0.8393, Val ACC: 0.6786
subject_17, Fold 0, Epoch 21, Train ACC: 0.8482, Val ACC: 0.6786
subject_17, Fold 0, Epoch 22, Train ACC: 0.8527, Val ACC: 0.6964
subject_17, Fold 0, Best Epoch: 12, Final Val ACC: 0.6964, Final Val F1: 0.6912

subject_17, Fold 0, Epoch 1, Train ACC: 0.6920, Val ACC: 0.6786
subject_17, Fold 0, Epoch 2, Train ACC: 0.8839, Val ACC: 0.7857
subject_17, Fold 0, Epoch 3, Train ACC: 0.9688, Val ACC: 0.8036
subject_17, Fold 0, Epoch 4, Train ACC: 0.9911, Val ACC: 0.7679
subject_17, Fold 0, Epoch 5, Train ACC: 1.0000, Val ACC: 0.8214
subject_17, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.7857
subject_17, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.8571
subject_17, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.8393
subject_17, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.8571
subject_17, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.8571
subject_17, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.8571
subject_17, Fold 0, Epoch 12, Train ACC: 1.0000, Val ACC: 0.8750
subject_17, Fold 0, Epoch 13, Train ACC: 1.0000, Val ACC: 0.8571
subject_17, Fold 0, Epoch 14, Train ACC: 1.0000, Val ACC: 0.8571
subject_17, Fold 0, Epoch 15, Train ACC: 1.0000, Val ACC: 0.8750
subject_17, Fold 0, Epoch 16, Train ACC: 1.0000, Val ACC: 0.8750
subject_17, Fold 0, Epoch 17, Train ACC: 1.0000, Val ACC: 0.8750
subject_17, Fold 0, Epoch 18, Train ACC: 1.0000, Val ACC: 0.8750
subject_17, Fold 0, Epoch 19, Train ACC: 1.0000, Val ACC: 0.8571
subject_17, Fold 0, Epoch 20, Train ACC: 1.0000, Val ACC: 0.8750
subject_17, Fold 0, Epoch 21, Train ACC: 1.0000, Val ACC: 0.8750
subject_17, Fold 0, Epoch 22, Train ACC: 1.0000, Val ACC: 0.8750
subject_17, Fold 0, Best Epoch: 12, Final Val ACC: 0.8750, Final Val F1: 0.8759

subject_17, Fold 1, Epoch 1, Train ACC: 0.3125, Val ACC: 0.4286
subject_17, Fold 1, Epoch 2, Train ACC: 0.4598, Val ACC: 0.5357
subject_17, Fold 1, Epoch 3, Train ACC: 0.5045, Val ACC: 0.4821
subject_17, Fold 1, Epoch 4, Train ACC: 0.5759, Val ACC: 0.5714
subject_17, Fold 1, Epoch 5, Train ACC: 0.6071, Val ACC: 0.6607
subject_17, Fold 1, Epoch 6, Train ACC: 0.6027, Val ACC: 0.6429
subject_17, Fold 1, Epoch 7, Train ACC: 0.6429, Val ACC: 0.6250
subject_17, Fold 1, Epoch 8, Train ACC: 0.6964, Val ACC: 0.6429
subject_17, Fold 1, Epoch 9, Train ACC: 0.7366, Val ACC: 0.6786
subject_17, Fold 1, Epoch 10, Train ACC: 0.7500, Val ACC: 0.6429
subject_17, Fold 1, Epoch 11, Train ACC: 0.7054, Val ACC: 0.5536
subject_17, Fold 1, Epoch 12, Train ACC: 0.7054, Val ACC: 0.7143
subject_17, Fold 1, Epoch 13, Train ACC: 0.7768, Val ACC: 0.6786
subject_17, Fold 1, Epoch 14, Train ACC: 0.7991, Val ACC: 0.6607
subject_17, Fold 1, Epoch 15, Train ACC: 0.7723, Val ACC: 0.5893
subject_17, Fold 1, Epoch 16, Train ACC: 0.7589, Val ACC: 0.6607
subject_17, Fold 1, Epoch 17, Train ACC: 0.8125, Val ACC: 0.6786
subject_17, Fold 1, Epoch 18, Train ACC: 0.8214, Val ACC: 0.7143
subject_17, Fold 1, Epoch 19, Train ACC: 0.8170, Val ACC: 0.6786
subject_17, Fold 1, Epoch 20, Train ACC: 0.7902, Val ACC: 0.6964
subject_17, Fold 1, Epoch 21, Train ACC: 0.8304, Val ACC: 0.7143
subject_17, Fold 1, Epoch 22, Train ACC: 0.8527, Val ACC: 0.6607
subject_17, Fold 1, Best Epoch: 12, Final Val ACC: 0.7143, Final Val F1: 0.7111

subject_17, Fold 1, Epoch 1, Train ACC: 0.6786, Val ACC: 0.6250
subject_17, Fold 1, Epoch 2, Train ACC: 0.8929, Val ACC: 0.6964
subject_17, Fold 1, Epoch 3, Train ACC: 0.9420, Val ACC: 0.7679
subject_17, Fold 1, Epoch 4, Train ACC: 0.9866, Val ACC: 0.7679
subject_17, Fold 1, Epoch 5, Train ACC: 1.0000, Val ACC: 0.7321
subject_17, Fold 1, Epoch 6, Train ACC: 1.0000, Val ACC: 0.7321
subject_17, Fold 1, Epoch 7, Train ACC: 1.0000, Val ACC: 0.7679
subject_17, Fold 1, Epoch 8, Train ACC: 1.0000, Val ACC: 0.7500
