subject_26, Fold 0, Epoch 1, Train ACC: 0.1964, Val ACC: 0.2857
subject_26, Fold 0, Epoch 2, Train ACC: 0.3661, Val ACC: 0.3571
subject_26, Fold 0, Epoch 3, Train ACC: 0.4420, Val ACC: 0.2500
subject_26, Fold 0, Epoch 4, Train ACC: 0.4598, Val ACC: 0.4464
subject_26, Fold 0, Epoch 5, Train ACC: 0.5491, Val ACC: 0.4286
subject_26, Fold 0, Epoch 6, Train ACC: 0.5580, Val ACC: 0.4107
subject_26, Fold 0, Epoch 7, Train ACC: 0.5714, Val ACC: 0.4464
subject_26, Fold 0, Epoch 8, Train ACC: 0.6250, Val ACC: 0.4107
subject_26, Fold 0, Epoch 9, Train ACC: 0.5938, Val ACC: 0.4107
subject_26, Fold 0, Epoch 10, Train ACC: 0.6161, Val ACC: 0.4286
subject_26, Fold 0, Epoch 11, Train ACC: 0.6830, Val ACC: 0.4107
subject_26, Fold 0, Epoch 12, Train ACC: 0.6741, Val ACC: 0.4821
subject_26, Fold 0, Epoch 13, Train ACC: 0.6830, Val ACC: 0.4643
subject_26, Fold 0, Epoch 14, Train ACC: 0.6384, Val ACC: 0.4107
subject_26, Fold 0, Epoch 15, Train ACC: 0.6964, Val ACC: 0.4107
subject_26, Fold 0, Epoch 16, Train ACC: 0.7634, Val ACC: 0.4464
subject_26, Fold 0, Epoch 17, Train ACC: 0.7411, Val ACC: 0.4286
subject_26, Fold 0, Epoch 18, Train ACC: 0.7545, Val ACC: 0.4286
subject_26, Fold 0, Epoch 19, Train ACC: 0.7545, Val ACC: 0.4821
subject_26, Fold 0, Epoch 20, Train ACC: 0.7857, Val ACC: 0.4821
subject_26, Fold 0, Epoch 21, Train ACC: 0.7188, Val ACC: 0.4107
subject_26, Fold 0, Epoch 22, Train ACC: 0.7723, Val ACC: 0.4464
subject_26, Fold 0, Best Epoch: 12, Final Val ACC: 0.4821, Final Val F1: 0.4667

subject_26, Fold 0, Epoch 1, Train ACC: 0.6429, Val ACC: 0.3750
subject_26, Fold 0, Epoch 2, Train ACC: 0.7902, Val ACC: 0.5179
subject_26, Fold 0, Epoch 3, Train ACC: 0.9286, Val ACC: 0.5000
subject_26, Fold 0, Epoch 4, Train ACC: 0.9732, Val ACC: 0.5179
subject_26, Fold 0, Epoch 5, Train ACC: 1.0000, Val ACC: 0.5357
subject_26, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.5893
subject_26, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.5000
subject_26, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.5179
subject_26, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.5357
subject_26, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.5000
subject_26, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.5536
subject_26, Fold 0, Epoch 12, Train ACC: 1.0000, Val ACC: 0.5357
subject_26, Fold 0, Epoch 13, Train ACC: 1.0000, Val ACC: 0.5357
subject_26, Fold 0, Epoch 14, Train ACC: 1.0000, Val ACC: 0.5179
subject_26, Fold 0, Epoch 15, Train ACC: 1.0000, Val ACC: 0.5357
subject_26, Fold 0, Epoch 16, Train ACC: 1.0000, Val ACC: 0.5357
subject_26, Fold 0, Best Epoch: 6, Final Val ACC: 0.5893, Final Val F1: 0.5808

subject_26, Fold 1, Epoch 1, Train ACC: 0.2277, Val ACC: 0.3036
subject_26, Fold 1, Epoch 2, Train ACC: 0.3616, Val ACC: 0.3571
subject_26, Fold 1, Epoch 3, Train ACC: 0.4286, Val ACC: 0.3571
subject_26, Fold 1, Epoch 4, Train ACC: 0.5045, Val ACC: 0.4107
subject_26, Fold 1, Epoch 5, Train ACC: 0.5045, Val ACC: 0.4643
subject_26, Fold 1, Epoch 6, Train ACC: 0.5357, Val ACC: 0.5179
subject_26, Fold 1, Epoch 7, Train ACC: 0.5536, Val ACC: 0.4821
subject_26, Fold 1, Epoch 8, Train ACC: 0.5580, Val ACC: 0.4286
subject_26, Fold 1, Epoch 9, Train ACC: 0.5714, Val ACC: 0.5000
subject_26, Fold 1, Epoch 10, Train ACC: 0.6339, Val ACC: 0.4643
subject_26, Fold 1, Epoch 11, Train ACC: 0.6741, Val ACC: 0.4464
subject_26, Fold 1, Epoch 12, Train ACC: 0.6786, Val ACC: 0.5357
subject_26, Fold 1, Epoch 13, Train ACC: 0.6473, Val ACC: 0.4464
subject_26, Fold 1, Epoch 14, Train ACC: 0.7009, Val ACC: 0.4821
subject_26, Fold 1, Epoch 15, Train ACC: 0.7545, Val ACC: 0.5179
subject_26, Fold 1, Epoch 16, Train ACC: 0.6830, Val ACC: 0.5714
subject_26, Fold 1, Epoch 17, Train ACC: 0.7232, Val ACC: 0.4643
subject_26, Fold 1, Epoch 18, Train ACC: 0.7545, Val ACC: 0.5357
subject_26, Fold 1, Epoch 19, Train ACC: 0.7366, Val ACC: 0.4821
subject_26, Fold 1, Epoch 20, Train ACC: 0.7500, Val ACC: 0.5714
subject_26, Fold 1, Epoch 21, Train ACC: 0.7812, Val ACC: 0.4643
subject_26, Fold 1, Epoch 22, Train ACC: 0.7589, Val ACC: 0.4643
subject_26, Fold 1, Epoch 23, Train ACC: 0.7500, Val ACC: 0.5536
subject_26, Fold 1, Epoch 24, Train ACC: 0.7679, Val ACC: 0.5536
subject_26, Fold 1, Epoch 25, Train ACC: 0.8036, Val ACC: 0.4643
subject_26, Fold 1, Epoch 26, Train ACC: 0.8214, Val ACC: 0.4643
subject_26, Fold 1, Best Epoch: 16, Final Val ACC: 0.5714, Final Val F1: 0.5366

subject_26, Fold 1, Epoch 1, Train ACC: 0.6607, Val ACC: 0.5357
subject_26, Fold 1, Epoch 2, Train ACC: 0.8750, Val ACC: 0.4286
subject_26, Fold 1, Epoch 3, Train ACC: 0.9375, Val ACC: 0.5536
subject_26, Fold 1, Epoch 4, Train ACC: 0.9732, Val ACC: 0.5714
subject_26, Fold 1, Epoch 5, Train ACC: 1.0000, Val ACC: 0.5179
subject_26, Fold 1, Epoch 6, Train ACC: 1.0000, Val ACC: 0.5714
subject_26, Fold 1, Epoch 7, Train ACC: 1.0000, Val ACC: 0.5000
subject_26, Fold 1, Epoch 8, Train ACC: 1.0000, Val ACC: 0.5536
subject_26, Fold 1, Epoch 9, Train ACC: 1.0000, Val ACC: 0.5357
subject_26, Fold 1, Epoch 10, Train ACC: 1.0000, Val ACC: 0.5536
subject_26, Fold 1, Epoch 11, Train ACC: 1.0000, Val ACC: 0.5536
subject_26, Fold 1, Epoch 12, Train ACC: 1.0000, Val ACC: 0.5357
subject_26, Fold 1, Epoch 13, Train ACC: 1.0000, Val ACC: 0.5536
subject_26, Fold 1, Epoch 14, Train ACC: 1.0000, Val ACC: 0.5357
subject_26, Fold 1, Best Epoch: 4, Final Val ACC: 0.5714, Final Val F1: 0.5572

subject_26, Fold 2, Epoch 1, Train ACC: 0.2768, Val ACC: 0.3393
subject_26, Fold 2, Epoch 2, Train ACC: 0.4152, Val ACC: 0.3214
subject_26, Fold 2, Epoch 3, Train ACC: 0.4107, Val ACC: 0.3571
subject_26, Fold 2, Epoch 4, Train ACC: 0.4955, Val ACC: 0.4643
subject_26, Fold 2, Epoch 5, Train ACC: 0.5223, Val ACC: 0.4107
subject_26, Fold 2, Epoch 6, Train ACC: 0.5312, Val ACC: 0.3750
subject_26, Fold 2, Epoch 7, Train ACC: 0.5893, Val ACC: 0.4643
subject_26, Fold 2, Epoch 8, Train ACC: 0.5893, Val ACC: 0.4821
subject_26, Fold 2, Epoch 9, Train ACC: 0.5938, Val ACC: 0.4107
subject_26, Fold 2, Epoch 10, Train ACC: 0.6295, Val ACC: 0.3571
subject_26, Fold 2, Epoch 11, Train ACC: 0.6786, Val ACC: 0.4107
subject_26, Fold 2, Epoch 12, Train ACC: 0.6964, Val ACC: 0.3929
subject_26, Fold 2, Epoch 13, Train ACC: 0.6652, Val ACC: 0.4821
subject_26, Fold 2, Epoch 14, Train ACC: 0.6429, Val ACC: 0.4286
subject_26, Fold 2, Epoch 15, Train ACC: 0.6741, Val ACC: 0.4643
subject_26, Fold 2, Epoch 16, Train ACC: 0.7098, Val ACC: 0.4286
subject_26, Fold 2, Epoch 17, Train ACC: 0.7500, Val ACC: 0.4286
subject_26, Fold 2, Epoch 18, Train ACC: 0.7321, Val ACC: 0.3750
subject_26, Fold 2, Best Epoch: 8, Final Val ACC: 0.4821, Final Val F1: 0.4248

subject_26, Fold 2, Epoch 1, Train ACC: 0.5268, Val ACC: 0.4464
subject_26, Fold 2, Epoch 2, Train ACC: 0.7277, Val ACC: 0.3571
subject_26, Fold 2, Epoch 3, Train ACC: 0.8571, Val ACC: 0.4107
subject_26, Fold 2, Epoch 4, Train ACC: 0.9464, Val ACC: 0.3929
