subject_06, Fold 0, Epoch 1, Train ACC: 0.2679, Val ACC: 0.3929
subject_06, Fold 0, Epoch 2, Train ACC: 0.4911, Val ACC: 0.5357
subject_06, Fold 0, Epoch 3, Train ACC: 0.6562, Val ACC: 0.6607
subject_06, Fold 0, Epoch 4, Train ACC: 0.6786, Val ACC: 0.7500
subject_06, Fold 0, Epoch 5, Train ACC: 0.7321, Val ACC: 0.6429
subject_06, Fold 0, Epoch 6, Train ACC: 0.7812, Val ACC: 0.7500
subject_06, Fold 0, Epoch 7, Train ACC: 0.7857, Val ACC: 0.7500
subject_06, Fold 0, Epoch 8, Train ACC: 0.8304, Val ACC: 0.7679
subject_06, Fold 0, Epoch 9, Train ACC: 0.8214, Val ACC: 0.7321
subject_06, Fold 0, Epoch 10, Train ACC: 0.8482, Val ACC: 0.7857
subject_06, Fold 0, Epoch 11, Train ACC: 0.8393, Val ACC: 0.7143
subject_06, Fold 0, Epoch 12, Train ACC: 0.8393, Val ACC: 0.7679
subject_06, Fold 0, Epoch 13, Train ACC: 0.8259, Val ACC: 0.8036
subject_06, Fold 0, Epoch 14, Train ACC: 0.9062, Val ACC: 0.8214
subject_06, Fold 0, Epoch 15, Train ACC: 0.8929, Val ACC: 0.8214
subject_06, Fold 0, Epoch 16, Train ACC: 0.9018, Val ACC: 0.8036
subject_06, Fold 0, Epoch 17, Train ACC: 0.9018, Val ACC: 0.7857
subject_06, Fold 0, Epoch 18, Train ACC: 0.8929, Val ACC: 0.8036
subject_06, Fold 0, Epoch 19, Train ACC: 0.9062, Val ACC: 0.8214
subject_06, Fold 0, Epoch 20, Train ACC: 0.9196, Val ACC: 0.8036
subject_06, Fold 0, Epoch 21, Train ACC: 0.9152, Val ACC: 0.8214
subject_06, Fold 0, Epoch 22, Train ACC: 0.9241, Val ACC: 0.8036
subject_06, Fold 0, Epoch 23, Train ACC: 0.9330, Val ACC: 0.8214
subject_06, Fold 0, Epoch 24, Train ACC: 0.9330, Val ACC: 0.8036
subject_06, Fold 0, Best Epoch: 14, Final Val ACC: 0.8214, Final Val F1: 0.8205

subject_06, Fold 0, Epoch 1, Train ACC: 0.7768, Val ACC: 0.8393
subject_06, Fold 0, Epoch 2, Train ACC: 0.9375, Val ACC: 0.8571
subject_06, Fold 0, Epoch 3, Train ACC: 0.9866, Val ACC: 0.8929
subject_06, Fold 0, Epoch 4, Train ACC: 1.0000, Val ACC: 0.8750
subject_06, Fold 0, Epoch 5, Train ACC: 1.0000, Val ACC: 0.8929
subject_06, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.8750
subject_06, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.8929
subject_06, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.8929
subject_06, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.8929
subject_06, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.8929
subject_06, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.8929
subject_06, Fold 0, Epoch 12, Train ACC: 1.0000, Val ACC: 0.8750
subject_06, Fold 0, Epoch 13, Train ACC: 1.0000, Val ACC: 0.8929
subject_06, Fold 0, Best Epoch: 3, Final Val ACC: 0.8929, Final Val F1: 0.8884

subject_06, Fold 1, Epoch 1, Train ACC: 0.2321, Val ACC: 0.2500
subject_06, Fold 1, Epoch 2, Train ACC: 0.3795, Val ACC: 0.4821
subject_06, Fold 1, Epoch 3, Train ACC: 0.5670, Val ACC: 0.5357
subject_06, Fold 1, Epoch 4, Train ACC: 0.6652, Val ACC: 0.6786
subject_06, Fold 1, Epoch 5, Train ACC: 0.7411, Val ACC: 0.6607
subject_06, Fold 1, Epoch 6, Train ACC: 0.7411, Val ACC: 0.6786
subject_06, Fold 1, Epoch 7, Train ACC: 0.7812, Val ACC: 0.6607
subject_06, Fold 1, Epoch 8, Train ACC: 0.7545, Val ACC: 0.6071
subject_06, Fold 1, Epoch 9, Train ACC: 0.8170, Val ACC: 0.6964
subject_06, Fold 1, Epoch 10, Train ACC: 0.8259, Val ACC: 0.6964
subject_06, Fold 1, Epoch 11, Train ACC: 0.8571, Val ACC: 0.6964
subject_06, Fold 1, Epoch 12, Train ACC: 0.8795, Val ACC: 0.7857
subject_06, Fold 1, Epoch 13, Train ACC: 0.9286, Val ACC: 0.7500
subject_06, Fold 1, Epoch 14, Train ACC: 0.9018, Val ACC: 0.6964
subject_06, Fold 1, Epoch 15, Train ACC: 0.9241, Val ACC: 0.7321
subject_06, Fold 1, Epoch 16, Train ACC: 0.9286, Val ACC: 0.6964
subject_06, Fold 1, Epoch 17, Train ACC: 0.9330, Val ACC: 0.7500
subject_06, Fold 1, Epoch 18, Train ACC: 0.9375, Val ACC: 0.7679
subject_06, Fold 1, Epoch 19, Train ACC: 0.9509, Val ACC: 0.7679
subject_06, Fold 1, Epoch 20, Train ACC: 0.9196, Val ACC: 0.7500
subject_06, Fold 1, Epoch 21, Train ACC: 0.9420, Val ACC: 0.7143
subject_06, Fold 1, Epoch 22, Train ACC: 0.9286, Val ACC: 0.7679
subject_06, Fold 1, Best Epoch: 12, Final Val ACC: 0.7857, Final Val F1: 0.7799

subject_06, Fold 1, Epoch 1, Train ACC: 0.8259, Val ACC: 0.8214
subject_06, Fold 1, Epoch 2, Train ACC: 0.9821, Val ACC: 0.8750
subject_06, Fold 1, Epoch 3, Train ACC: 1.0000, Val ACC: 0.8750
subject_06, Fold 1, Epoch 4, Train ACC: 1.0000, Val ACC: 0.8571
subject_06, Fold 1, Epoch 5, Train ACC: 1.0000, Val ACC: 0.8929
subject_06, Fold 1, Epoch 6, Train ACC: 1.0000, Val ACC: 0.8571
subject_06, Fold 1, Epoch 7, Train ACC: 1.0000, Val ACC: 0.8929
subject_06, Fold 1, Epoch 8, Train ACC: 1.0000, Val ACC: 0.8750
subject_06, Fold 1, Epoch 9, Train ACC: 1.0000, Val ACC: 0.8929
subject_06, Fold 1, Epoch 10, Train ACC: 1.0000, Val ACC: 0.8571
subject_06, Fold 1, Epoch 11, Train ACC: 1.0000, Val ACC: 0.8929
subject_06, Fold 1, Epoch 12, Train ACC: 1.0000, Val ACC: 0.8571
