subject_07, Fold 0, Epoch 1, Train ACC: 0.3795, Val ACC: 0.4821
subject_07, Fold 0, Epoch 2, Train ACC: 0.5625, Val ACC: 0.5179
subject_07, Fold 0, Epoch 3, Train ACC: 0.6920, Val ACC: 0.5893
subject_07, Fold 0, Epoch 4, Train ACC: 0.7545, Val ACC: 0.6607
subject_07, Fold 0, Epoch 5, Train ACC: 0.7545, Val ACC: 0.6786
subject_07, Fold 0, Epoch 6, Train ACC: 0.7768, Val ACC: 0.7143
subject_07, Fold 0, Epoch 7, Train ACC: 0.8125, Val ACC: 0.6964
subject_07, Fold 0, Epoch 8, Train ACC: 0.8259, Val ACC: 0.7143
subject_07, Fold 0, Epoch 9, Train ACC: 0.8214, Val ACC: 0.7143
subject_07, Fold 0, Epoch 10, Train ACC: 0.8438, Val ACC: 0.7143
subject_07, Fold 0, Epoch 11, Train ACC: 0.8571, Val ACC: 0.7679
subject_07, Fold 0, Epoch 12, Train ACC: 0.8616, Val ACC: 0.7679
subject_07, Fold 0, Epoch 13, Train ACC: 0.8973, Val ACC: 0.7679
subject_07, Fold 0, Epoch 14, Train ACC: 0.9018, Val ACC: 0.7321
subject_07, Fold 0, Epoch 15, Train ACC: 0.8750, Val ACC: 0.7857
subject_07, Fold 0, Epoch 16, Train ACC: 0.9062, Val ACC: 0.7679
subject_07, Fold 0, Epoch 17, Train ACC: 0.9152, Val ACC: 0.7679
subject_07, Fold 0, Epoch 18, Train ACC: 0.9062, Val ACC: 0.7857
subject_07, Fold 0, Epoch 19, Train ACC: 0.9241, Val ACC: 0.7321
subject_07, Fold 0, Epoch 20, Train ACC: 0.9152, Val ACC: 0.7500
subject_07, Fold 0, Epoch 21, Train ACC: 0.9464, Val ACC: 0.7857
subject_07, Fold 0, Epoch 22, Train ACC: 0.9196, Val ACC: 0.7857
subject_07, Fold 0, Epoch 23, Train ACC: 0.9286, Val ACC: 0.8214
subject_07, Fold 0, Epoch 24, Train ACC: 0.9330, Val ACC: 0.8036
subject_07, Fold 0, Epoch 25, Train ACC: 0.9509, Val ACC: 0.7857
subject_07, Fold 0, Epoch 26, Train ACC: 0.9688, Val ACC: 0.8036
subject_07, Fold 0, Epoch 27, Train ACC: 0.9643, Val ACC: 0.7857
subject_07, Fold 0, Epoch 28, Train ACC: 0.9554, Val ACC: 0.7500
subject_07, Fold 0, Epoch 29, Train ACC: 0.9598, Val ACC: 0.7857
subject_07, Fold 0, Epoch 30, Train ACC: 0.9732, Val ACC: 0.7857
subject_07, Fold 0, Epoch 31, Train ACC: 0.9643, Val ACC: 0.8036
subject_07, Fold 0, Epoch 32, Train ACC: 0.9777, Val ACC: 0.7857
subject_07, Fold 0, Epoch 33, Train ACC: 0.9732, Val ACC: 0.7500
subject_07, Fold 0, Best Epoch: 23, Final Val ACC: 0.8214, Final Val F1: 0.8174

subject_07, Fold 0, Epoch 1, Train ACC: 0.8795, Val ACC: 0.7857
subject_07, Fold 0, Epoch 2, Train ACC: 0.9866, Val ACC: 0.7321
subject_07, Fold 0, Epoch 3, Train ACC: 1.0000, Val ACC: 0.7500
subject_07, Fold 0, Epoch 4, Train ACC: 1.0000, Val ACC: 0.7857
subject_07, Fold 0, Epoch 5, Train ACC: 1.0000, Val ACC: 0.7500
subject_07, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.7679
subject_07, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.7857
subject_07, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.7679
subject_07, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.7857
subject_07, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.7857
subject_07, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.7500
subject_07, Fold 0, Best Epoch: 1, Final Val ACC: 0.7857, Final Val F1: 0.7839

subject_07, Fold 1, Epoch 1, Train ACC: 0.3929, Val ACC: 0.4464
subject_07, Fold 1, Epoch 2, Train ACC: 0.5848, Val ACC: 0.6250
subject_07, Fold 1, Epoch 3, Train ACC: 0.6786, Val ACC: 0.6250
subject_07, Fold 1, Epoch 4, Train ACC: 0.6920, Val ACC: 0.6607
subject_07, Fold 1, Epoch 5, Train ACC: 0.7232, Val ACC: 0.7500
subject_07, Fold 1, Epoch 6, Train ACC: 0.7812, Val ACC: 0.7321
subject_07, Fold 1, Epoch 7, Train ACC: 0.8036, Val ACC: 0.6964
subject_07, Fold 1, Epoch 8, Train ACC: 0.7946, Val ACC: 0.7321
subject_07, Fold 1, Epoch 9, Train ACC: 0.8080, Val ACC: 0.6607
