subject_11, Fold 0, Epoch 1, Train ACC: 0.1473, Val ACC: 0.3036
subject_11, Fold 0, Epoch 2, Train ACC: 0.2991, Val ACC: 0.2321
subject_11, Fold 0, Epoch 3, Train ACC: 0.3125, Val ACC: 0.3036
subject_11, Fold 0, Epoch 4, Train ACC: 0.4152, Val ACC: 0.2857
subject_11, Fold 0, Epoch 5, Train ACC: 0.4821, Val ACC: 0.4643
subject_11, Fold 0, Epoch 6, Train ACC: 0.4777, Val ACC: 0.4286
subject_11, Fold 0, Epoch 7, Train ACC: 0.5848, Val ACC: 0.4286
subject_11, Fold 0, Epoch 8, Train ACC: 0.6116, Val ACC: 0.4286
subject_11, Fold 0, Epoch 9, Train ACC: 0.5670, Val ACC: 0.4643
subject_11, Fold 0, Epoch 10, Train ACC: 0.5312, Val ACC: 0.5536
subject_11, Fold 0, Epoch 11, Train ACC: 0.6607, Val ACC: 0.4643
subject_11, Fold 0, Epoch 12, Train ACC: 0.6250, Val ACC: 0.4107
subject_11, Fold 0, Epoch 13, Train ACC: 0.6295, Val ACC: 0.4643
subject_11, Fold 0, Epoch 14, Train ACC: 0.6652, Val ACC: 0.4107
subject_11, Fold 0, Epoch 15, Train ACC: 0.6875, Val ACC: 0.4107
subject_11, Fold 0, Epoch 16, Train ACC: 0.6562, Val ACC: 0.4286
subject_11, Fold 0, Epoch 17, Train ACC: 0.7054, Val ACC: 0.4643
subject_11, Fold 0, Epoch 18, Train ACC: 0.7098, Val ACC: 0.4464
subject_11, Fold 0, Epoch 19, Train ACC: 0.6964, Val ACC: 0.4107
subject_11, Fold 0, Epoch 20, Train ACC: 0.6696, Val ACC: 0.4821
subject_11, Fold 0, Best Epoch: 10, Final Val ACC: 0.5536, Final Val F1: 0.5433

subject_11, Fold 0, Epoch 1, Train ACC: 0.5625, Val ACC: 0.4821
subject_11, Fold 0, Epoch 2, Train ACC: 0.7589, Val ACC: 0.4821
subject_11, Fold 0, Epoch 3, Train ACC: 0.9330, Val ACC: 0.5000
subject_11, Fold 0, Epoch 4, Train ACC: 0.9911, Val ACC: 0.4821
subject_11, Fold 0, Epoch 5, Train ACC: 1.0000, Val ACC: 0.4821
subject_11, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.4821
subject_11, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.4643
subject_11, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.4821
subject_11, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.4464
subject_11, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.4643
subject_11, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.4464
subject_11, Fold 0, Epoch 12, Train ACC: 1.0000, Val ACC: 0.4643
subject_11, Fold 0, Epoch 13, Train ACC: 1.0000, Val ACC: 0.4464
subject_11, Fold 0, Best Epoch: 3, Final Val ACC: 0.5000, Final Val F1: 0.5114

subject_11, Fold 1, Epoch 1, Train ACC: 0.1830, Val ACC: 0.2143
subject_11, Fold 1, Epoch 2, Train ACC: 0.2812, Val ACC: 0.3393
subject_11, Fold 1, Epoch 3, Train ACC: 0.3348, Val ACC: 0.4107
subject_11, Fold 1, Epoch 4, Train ACC: 0.4107, Val ACC: 0.3036
subject_11, Fold 1, Epoch 5, Train ACC: 0.4911, Val ACC: 0.4286
subject_11, Fold 1, Epoch 6, Train ACC: 0.5268, Val ACC: 0.3214
subject_11, Fold 1, Epoch 7, Train ACC: 0.5446, Val ACC: 0.4107
subject_11, Fold 1, Epoch 8, Train ACC: 0.5625, Val ACC: 0.5000
subject_11, Fold 1, Epoch 9, Train ACC: 0.6027, Val ACC: 0.4107
subject_11, Fold 1, Epoch 10, Train ACC: 0.6161, Val ACC: 0.4464
subject_11, Fold 1, Epoch 11, Train ACC: 0.5982, Val ACC: 0.3571
subject_11, Fold 1, Epoch 12, Train ACC: 0.6250, Val ACC: 0.3929
subject_11, Fold 1, Epoch 13, Train ACC: 0.6339, Val ACC: 0.5000
subject_11, Fold 1, Epoch 14, Train ACC: 0.6920, Val ACC: 0.4643
subject_11, Fold 1, Epoch 15, Train ACC: 0.6429, Val ACC: 0.5000
subject_11, Fold 1, Epoch 16, Train ACC: 0.6964, Val ACC: 0.5000
subject_11, Fold 1, Epoch 17, Train ACC: 0.7054, Val ACC: 0.4643
subject_11, Fold 1, Epoch 18, Train ACC: 0.6964, Val ACC: 0.5000
subject_11, Fold 1, Best Epoch: 8, Final Val ACC: 0.5000, Final Val F1: 0.4845

subject_11, Fold 1, Epoch 1, Train ACC: 0.5625, Val ACC: 0.5536
