subject_05, Fold 0, Epoch 1, Train ACC: 0.2232, Val ACC: 0.2500
subject_05, Fold 0, Epoch 2, Train ACC: 0.3259, Val ACC: 0.3393
subject_05, Fold 0, Epoch 3, Train ACC: 0.3929, Val ACC: 0.3214
subject_05, Fold 0, Epoch 4, Train ACC: 0.4598, Val ACC: 0.3214
subject_05, Fold 0, Epoch 5, Train ACC: 0.5580, Val ACC: 0.3750
subject_05, Fold 0, Epoch 6, Train ACC: 0.5402, Val ACC: 0.4643
subject_05, Fold 0, Epoch 7, Train ACC: 0.5357, Val ACC: 0.4464
subject_05, Fold 0, Epoch 8, Train ACC: 0.5402, Val ACC: 0.4643
subject_05, Fold 0, Epoch 9, Train ACC: 0.6250, Val ACC: 0.4464
subject_05, Fold 0, Epoch 10, Train ACC: 0.6339, Val ACC: 0.4286
subject_05, Fold 0, Epoch 11, Train ACC: 0.6429, Val ACC: 0.3393
subject_05, Fold 0, Epoch 12, Train ACC: 0.6250, Val ACC: 0.4464
subject_05, Fold 0, Epoch 13, Train ACC: 0.6875, Val ACC: 0.5536
subject_05, Fold 0, Epoch 14, Train ACC: 0.6786, Val ACC: 0.4286
subject_05, Fold 0, Epoch 15, Train ACC: 0.6518, Val ACC: 0.4643
subject_05, Fold 0, Epoch 16, Train ACC: 0.6652, Val ACC: 0.5179
subject_05, Fold 0, Epoch 17, Train ACC: 0.7009, Val ACC: 0.4286
subject_05, Fold 0, Epoch 18, Train ACC: 0.6741, Val ACC: 0.4464
subject_05, Fold 0, Epoch 19, Train ACC: 0.6875, Val ACC: 0.5179
subject_05, Fold 0, Epoch 20, Train ACC: 0.7009, Val ACC: 0.5000
subject_05, Fold 0, Epoch 21, Train ACC: 0.7009, Val ACC: 0.5357
subject_05, Fold 0, Epoch 22, Train ACC: 0.7321, Val ACC: 0.5000
subject_05, Fold 0, Epoch 23, Train ACC: 0.6920, Val ACC: 0.3929
subject_05, Fold 0, Best Epoch: 13, Final Val ACC: 0.5536, Final Val F1: 0.5507

subject_05, Fold 0, Epoch 1, Train ACC: 0.5893, Val ACC: 0.4107
subject_05, Fold 0, Epoch 2, Train ACC: 0.8125, Val ACC: 0.5357
subject_05, Fold 0, Epoch 3, Train ACC: 0.8750, Val ACC: 0.5536
subject_05, Fold 0, Epoch 4, Train ACC: 0.9509, Val ACC: 0.6250
subject_05, Fold 0, Epoch 5, Train ACC: 0.9955, Val ACC: 0.5536
subject_05, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.5714
subject_05, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.6071
subject_05, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.5893
subject_05, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.6071
subject_05, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.6071
subject_05, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.6071
subject_05, Fold 0, Epoch 12, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 0, Epoch 13, Train ACC: 1.0000, Val ACC: 0.6429
subject_05, Fold 0, Epoch 14, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 0, Epoch 15, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 0, Epoch 16, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 0, Epoch 17, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 0, Epoch 18, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 0, Epoch 19, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 0, Epoch 20, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 0, Epoch 21, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 0, Epoch 22, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 0, Epoch 23, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 0, Best Epoch: 13, Final Val ACC: 0.6429, Final Val F1: 0.6425

subject_05, Fold 1, Epoch 1, Train ACC: 0.2634, Val ACC: 0.2143
subject_05, Fold 1, Epoch 2, Train ACC: 0.2589, Val ACC: 0.3214
subject_05, Fold 1, Epoch 3, Train ACC: 0.4062, Val ACC: 0.3393
subject_05, Fold 1, Epoch 4, Train ACC: 0.4286, Val ACC: 0.4286
subject_05, Fold 1, Epoch 5, Train ACC: 0.4732, Val ACC: 0.4643
subject_05, Fold 1, Epoch 6, Train ACC: 0.5000, Val ACC: 0.4643
subject_05, Fold 1, Epoch 7, Train ACC: 0.5491, Val ACC: 0.4286
subject_05, Fold 1, Epoch 8, Train ACC: 0.5536, Val ACC: 0.5714
subject_05, Fold 1, Epoch 9, Train ACC: 0.5312, Val ACC: 0.5179
subject_05, Fold 1, Epoch 10, Train ACC: 0.6339, Val ACC: 0.4107
subject_05, Fold 1, Epoch 11, Train ACC: 0.6205, Val ACC: 0.3571
subject_05, Fold 1, Epoch 12, Train ACC: 0.6071, Val ACC: 0.5000
subject_05, Fold 1, Epoch 13, Train ACC: 0.6384, Val ACC: 0.5000
subject_05, Fold 1, Epoch 14, Train ACC: 0.6652, Val ACC: 0.5714
subject_05, Fold 1, Epoch 15, Train ACC: 0.6429, Val ACC: 0.5179
subject_05, Fold 1, Epoch 16, Train ACC: 0.6205, Val ACC: 0.5000
subject_05, Fold 1, Epoch 17, Train ACC: 0.6786, Val ACC: 0.6786
subject_05, Fold 1, Epoch 18, Train ACC: 0.6830, Val ACC: 0.6607
subject_05, Fold 1, Epoch 19, Train ACC: 0.6830, Val ACC: 0.6071
subject_05, Fold 1, Epoch 20, Train ACC: 0.6920, Val ACC: 0.6429
subject_05, Fold 1, Epoch 21, Train ACC: 0.7143, Val ACC: 0.6071
subject_05, Fold 1, Epoch 22, Train ACC: 0.6964, Val ACC: 0.6786
subject_05, Fold 1, Epoch 23, Train ACC: 0.7188, Val ACC: 0.5714
subject_05, Fold 1, Epoch 24, Train ACC: 0.7188, Val ACC: 0.5357
subject_05, Fold 1, Epoch 25, Train ACC: 0.7366, Val ACC: 0.6071
subject_05, Fold 1, Epoch 26, Train ACC: 0.7054, Val ACC: 0.3750
subject_05, Fold 1, Epoch 27, Train ACC: 0.7321, Val ACC: 0.5179
subject_05, Fold 1, Best Epoch: 17, Final Val ACC: 0.6786, Final Val F1: 0.6602

subject_05, Fold 1, Epoch 1, Train ACC: 0.6473, Val ACC: 0.6250
subject_05, Fold 1, Epoch 2, Train ACC: 0.8036, Val ACC: 0.6250
subject_05, Fold 1, Epoch 3, Train ACC: 0.9598, Val ACC: 0.5000
subject_05, Fold 1, Epoch 4, Train ACC: 0.9866, Val ACC: 0.5893
subject_05, Fold 1, Epoch 5, Train ACC: 1.0000, Val ACC: 0.5714
subject_05, Fold 1, Epoch 6, Train ACC: 1.0000, Val ACC: 0.6071
subject_05, Fold 1, Epoch 7, Train ACC: 1.0000, Val ACC: 0.5714
subject_05, Fold 1, Epoch 8, Train ACC: 1.0000, Val ACC: 0.5536
subject_05, Fold 1, Epoch 9, Train ACC: 1.0000, Val ACC: 0.5714
subject_05, Fold 1, Epoch 10, Train ACC: 1.0000, Val ACC: 0.5714
subject_05, Fold 1, Epoch 11, Train ACC: 1.0000, Val ACC: 0.5357
subject_05, Fold 1, Best Epoch: 1, Final Val ACC: 0.6250, Final Val F1: 0.6253

subject_05, Fold 2, Epoch 1, Train ACC: 0.1786, Val ACC: 0.3393
subject_05, Fold 2, Epoch 2, Train ACC: 0.3304, Val ACC: 0.3929
subject_05, Fold 2, Epoch 3, Train ACC: 0.4286, Val ACC: 0.4643
subject_05, Fold 2, Epoch 4, Train ACC: 0.4241, Val ACC: 0.4107
subject_05, Fold 2, Epoch 5, Train ACC: 0.5268, Val ACC: 0.4464
subject_05, Fold 2, Epoch 6, Train ACC: 0.5402, Val ACC: 0.4464
subject_05, Fold 2, Epoch 7, Train ACC: 0.5536, Val ACC: 0.4821
subject_05, Fold 2, Epoch 8, Train ACC: 0.5670, Val ACC: 0.4286
subject_05, Fold 2, Epoch 9, Train ACC: 0.5759, Val ACC: 0.4643
subject_05, Fold 2, Epoch 10, Train ACC: 0.6250, Val ACC: 0.4286
subject_05, Fold 2, Epoch 11, Train ACC: 0.5982, Val ACC: 0.4643
subject_05, Fold 2, Epoch 12, Train ACC: 0.6116, Val ACC: 0.5000
subject_05, Fold 2, Epoch 13, Train ACC: 0.6786, Val ACC: 0.4643
subject_05, Fold 2, Epoch 14, Train ACC: 0.6027, Val ACC: 0.5536
subject_05, Fold 2, Epoch 15, Train ACC: 0.6741, Val ACC: 0.4464
subject_05, Fold 2, Epoch 16, Train ACC: 0.6696, Val ACC: 0.5000
subject_05, Fold 2, Epoch 17, Train ACC: 0.6830, Val ACC: 0.5000
subject_05, Fold 2, Epoch 18, Train ACC: 0.7098, Val ACC: 0.5357
subject_05, Fold 2, Epoch 19, Train ACC: 0.6964, Val ACC: 0.5179
subject_05, Fold 2, Epoch 20, Train ACC: 0.7277, Val ACC: 0.5179
subject_05, Fold 2, Epoch 21, Train ACC: 0.6875, Val ACC: 0.5536
subject_05, Fold 2, Epoch 22, Train ACC: 0.6964, Val ACC: 0.4821
subject_05, Fold 2, Epoch 23, Train ACC: 0.7188, Val ACC: 0.4643
subject_05, Fold 2, Epoch 24, Train ACC: 0.7277, Val ACC: 0.5536
subject_05, Fold 2, Best Epoch: 14, Final Val ACC: 0.5536, Final Val F1: 0.5420

subject_05, Fold 2, Epoch 1, Train ACC: 0.6027, Val ACC: 0.5536
subject_05, Fold 2, Epoch 2, Train ACC: 0.8170, Val ACC: 0.6071
subject_05, Fold 2, Epoch 3, Train ACC: 0.9330, Val ACC: 0.6071
subject_05, Fold 2, Epoch 4, Train ACC: 0.9821, Val ACC: 0.6071
subject_05, Fold 2, Epoch 5, Train ACC: 1.0000, Val ACC: 0.6071
subject_05, Fold 2, Epoch 6, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 2, Epoch 7, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 2, Epoch 8, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 2, Epoch 9, Train ACC: 1.0000, Val ACC: 0.6429
subject_05, Fold 2, Epoch 10, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 2, Epoch 11, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 2, Epoch 12, Train ACC: 1.0000, Val ACC: 0.6071
subject_05, Fold 2, Epoch 13, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 2, Epoch 14, Train ACC: 1.0000, Val ACC: 0.6071
subject_05, Fold 2, Epoch 15, Train ACC: 1.0000, Val ACC: 0.6071
subject_05, Fold 2, Epoch 16, Train ACC: 1.0000, Val ACC: 0.6071
subject_05, Fold 2, Epoch 17, Train ACC: 1.0000, Val ACC: 0.6071
subject_05, Fold 2, Epoch 18, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 2, Epoch 19, Train ACC: 1.0000, Val ACC: 0.6250
subject_05, Fold 2, Best Epoch: 9, Final Val ACC: 0.6429, Final Val F1: 0.6186

subject_05, Fold 3, Epoch 1, Train ACC: 0.1696, Val ACC: 0.3750
subject_05, Fold 3, Epoch 2, Train ACC: 0.3125, Val ACC: 0.3571
subject_05, Fold 3, Epoch 3, Train ACC: 0.4018, Val ACC: 0.4107
subject_05, Fold 3, Epoch 4, Train ACC: 0.4330, Val ACC: 0.4464
subject_05, Fold 3, Epoch 5, Train ACC: 0.4464, Val ACC: 0.3929
subject_05, Fold 3, Epoch 6, Train ACC: 0.5134, Val ACC: 0.4464
subject_05, Fold 3, Epoch 7, Train ACC: 0.5491, Val ACC: 0.5357
subject_05, Fold 3, Epoch 8, Train ACC: 0.6071, Val ACC: 0.4643
subject_05, Fold 3, Epoch 9, Train ACC: 0.5982, Val ACC: 0.4464
subject_05, Fold 3, Epoch 10, Train ACC: 0.5804, Val ACC: 0.4286
subject_05, Fold 3, Epoch 11, Train ACC: 0.6696, Val ACC: 0.5179
subject_05, Fold 3, Epoch 12, Train ACC: 0.6339, Val ACC: 0.4821
subject_05, Fold 3, Epoch 13, Train ACC: 0.6741, Val ACC: 0.4643
subject_05, Fold 3, Epoch 14, Train ACC: 0.6205, Val ACC: 0.3929
subject_05, Fold 3, Epoch 15, Train ACC: 0.6607, Val ACC: 0.4464
subject_05, Fold 3, Epoch 16, Train ACC: 0.6562, Val ACC: 0.4821
subject_05, Fold 3, Epoch 17, Train ACC: 0.6652, Val ACC: 0.4286
subject_05, Fold 3, Best Epoch: 7, Final Val ACC: 0.5357, Final Val F1: 0.5292

subject_05, Fold 3, Epoch 1, Train ACC: 0.5580, Val ACC: 0.4643
subject_05, Fold 3, Epoch 2, Train ACC: 0.7634, Val ACC: 0.4821
subject_05, Fold 3, Epoch 3, Train ACC: 0.8884, Val ACC: 0.5000
subject_05, Fold 3, Epoch 4, Train ACC: 0.9688, Val ACC: 0.4464
subject_05, Fold 3, Epoch 5, Train ACC: 0.9955, Val ACC: 0.4821
subject_05, Fold 3, Epoch 6, Train ACC: 1.0000, Val ACC: 0.5000
subject_05, Fold 3, Epoch 7, Train ACC: 1.0000, Val ACC: 0.5179
subject_05, Fold 3, Epoch 8, Train ACC: 1.0000, Val ACC: 0.5179
subject_05, Fold 3, Epoch 9, Train ACC: 1.0000, Val ACC: 0.5179
subject_05, Fold 3, Epoch 10, Train ACC: 1.0000, Val ACC: 0.5536
subject_05, Fold 3, Epoch 11, Train ACC: 1.0000, Val ACC: 0.5000
subject_05, Fold 3, Epoch 12, Train ACC: 1.0000, Val ACC: 0.5357
subject_05, Fold 3, Epoch 13, Train ACC: 1.0000, Val ACC: 0.5357
subject_05, Fold 3, Epoch 14, Train ACC: 1.0000, Val ACC: 0.5357
