subject_02, Fold 0, Epoch 1, Train ACC: 0.2634, Val ACC: 0.3750
subject_02, Fold 0, Epoch 2, Train ACC: 0.4509, Val ACC: 0.3750
subject_02, Fold 0, Epoch 3, Train ACC: 0.5536, Val ACC: 0.5714
subject_02, Fold 0, Epoch 4, Train ACC: 0.6964, Val ACC: 0.4821
subject_02, Fold 0, Epoch 5, Train ACC: 0.6964, Val ACC: 0.4821
subject_02, Fold 0, Epoch 6, Train ACC: 0.7277, Val ACC: 0.5714
subject_02, Fold 0, Epoch 7, Train ACC: 0.7232, Val ACC: 0.5714
subject_02, Fold 0, Epoch 8, Train ACC: 0.7768, Val ACC: 0.5893
subject_02, Fold 0, Epoch 9, Train ACC: 0.7679, Val ACC: 0.6429
subject_02, Fold 0, Epoch 10, Train ACC: 0.8036, Val ACC: 0.5893
subject_02, Fold 0, Epoch 11, Train ACC: 0.7991, Val ACC: 0.6250
subject_02, Fold 0, Epoch 12, Train ACC: 0.8214, Val ACC: 0.6250
subject_02, Fold 0, Epoch 13, Train ACC: 0.8259, Val ACC: 0.6250
subject_02, Fold 0, Epoch 14, Train ACC: 0.8214, Val ACC: 0.6250
subject_02, Fold 0, Epoch 15, Train ACC: 0.8036, Val ACC: 0.6429
subject_02, Fold 0, Epoch 16, Train ACC: 0.8438, Val ACC: 0.5714
subject_02, Fold 0, Epoch 17, Train ACC: 0.8571, Val ACC: 0.6429
subject_02, Fold 0, Epoch 18, Train ACC: 0.8616, Val ACC: 0.6250
subject_02, Fold 0, Epoch 19, Train ACC: 0.8661, Val ACC: 0.6429
subject_02, Fold 0, Best Epoch: 9, Final Val ACC: 0.6429, Final Val F1: 0.6382

subject_02, Fold 0, Epoch 1, Train ACC: 0.7455, Val ACC: 0.5357
subject_02, Fold 0, Epoch 2, Train ACC: 0.8482, Val ACC: 0.6607
subject_02, Fold 0, Epoch 3, Train ACC: 0.9777, Val ACC: 0.7857
subject_02, Fold 0, Epoch 4, Train ACC: 1.0000, Val ACC: 0.7500
subject_02, Fold 0, Epoch 5, Train ACC: 1.0000, Val ACC: 0.7143
subject_02, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.7143
subject_02, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.7679
subject_02, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.7321
subject_02, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.7143
subject_02, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.7321
subject_02, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.7500
subject_02, Fold 0, Epoch 12, Train ACC: 1.0000, Val ACC: 0.7321
subject_02, Fold 0, Epoch 13, Train ACC: 1.0000, Val ACC: 0.7321
subject_02, Fold 0, Best Epoch: 3, Final Val ACC: 0.7857, Final Val F1: 0.7806

subject_02, Fold 1, Epoch 1, Train ACC: 0.2991, Val ACC: 0.3571
subject_02, Fold 1, Epoch 2, Train ACC: 0.4643, Val ACC: 0.4107
subject_02, Fold 1, Epoch 3, Train ACC: 0.5134, Val ACC: 0.5179
subject_02, Fold 1, Epoch 4, Train ACC: 0.5804, Val ACC: 0.3929
subject_02, Fold 1, Epoch 5, Train ACC: 0.6250, Val ACC: 0.6071
subject_02, Fold 1, Epoch 6, Train ACC: 0.6875, Val ACC: 0.6607
subject_02, Fold 1, Epoch 7, Train ACC: 0.7500, Val ACC: 0.5357
subject_02, Fold 1, Epoch 8, Train ACC: 0.7009, Val ACC: 0.6429
subject_02, Fold 1, Epoch 9, Train ACC: 0.7500, Val ACC: 0.6071
subject_02, Fold 1, Epoch 10, Train ACC: 0.8036, Val ACC: 0.6429
subject_02, Fold 1, Epoch 11, Train ACC: 0.7991, Val ACC: 0.6607
subject_02, Fold 1, Epoch 12, Train ACC: 0.8259, Val ACC: 0.6607
subject_02, Fold 1, Epoch 13, Train ACC: 0.8259, Val ACC: 0.6429
subject_02, Fold 1, Epoch 14, Train ACC: 0.8571, Val ACC: 0.6250
subject_02, Fold 1, Epoch 15, Train ACC: 0.8393, Val ACC: 0.6786
subject_02, Fold 1, Epoch 16, Train ACC: 0.8482, Val ACC: 0.6429
subject_02, Fold 1, Epoch 17, Train ACC: 0.8571, Val ACC: 0.6964
subject_02, Fold 1, Epoch 18, Train ACC: 0.8616, Val ACC: 0.6964
subject_02, Fold 1, Epoch 19, Train ACC: 0.8661, Val ACC: 0.7143
subject_02, Fold 1, Epoch 20, Train ACC: 0.8795, Val ACC: 0.6964
subject_02, Fold 1, Epoch 21, Train ACC: 0.8973, Val ACC: 0.6964
subject_02, Fold 1, Epoch 22, Train ACC: 0.8795, Val ACC: 0.7321
subject_02, Fold 1, Epoch 23, Train ACC: 0.8884, Val ACC: 0.6786
subject_02, Fold 1, Epoch 24, Train ACC: 0.8973, Val ACC: 0.6964
subject_02, Fold 1, Epoch 25, Train ACC: 0.8839, Val ACC: 0.6607
subject_02, Fold 1, Epoch 26, Train ACC: 0.9062, Val ACC: 0.6964
subject_02, Fold 1, Epoch 27, Train ACC: 0.9107, Val ACC: 0.7143
subject_02, Fold 1, Epoch 28, Train ACC: 0.9018, Val ACC: 0.7321
subject_02, Fold 1, Epoch 29, Train ACC: 0.9018, Val ACC: 0.6607
subject_02, Fold 1, Epoch 30, Train ACC: 0.9152, Val ACC: 0.7143
subject_02, Fold 1, Epoch 31, Train ACC: 0.9286, Val ACC: 0.6964
subject_02, Fold 1, Epoch 32, Train ACC: 0.9286, Val ACC: 0.6786
subject_02, Fold 1, Best Epoch: 22, Final Val ACC: 0.7321, Final Val F1: 0.7331

subject_02, Fold 1, Epoch 1, Train ACC: 0.8214, Val ACC: 0.5714
subject_02, Fold 1, Epoch 2, Train ACC: 0.9464, Val ACC: 0.6607
subject_02, Fold 1, Epoch 3, Train ACC: 0.9955, Val ACC: 0.6607
subject_02, Fold 1, Epoch 4, Train ACC: 1.0000, Val ACC: 0.6607
subject_02, Fold 1, Epoch 5, Train ACC: 1.0000, Val ACC: 0.6607
subject_02, Fold 1, Epoch 6, Train ACC: 1.0000, Val ACC: 0.6607
subject_02, Fold 1, Epoch 7, Train ACC: 1.0000, Val ACC: 0.6429
subject_02, Fold 1, Epoch 8, Train ACC: 1.0000, Val ACC: 0.6607
subject_02, Fold 1, Epoch 9, Train ACC: 1.0000, Val ACC: 0.6964
subject_02, Fold 1, Epoch 10, Train ACC: 1.0000, Val ACC: 0.6607
subject_02, Fold 1, Epoch 11, Train ACC: 1.0000, Val ACC: 0.6786
subject_02, Fold 1, Epoch 12, Train ACC: 1.0000, Val ACC: 0.6607
subject_02, Fold 1, Epoch 13, Train ACC: 1.0000, Val ACC: 0.6786
subject_02, Fold 1, Epoch 14, Train ACC: 1.0000, Val ACC: 0.6786
subject_02, Fold 1, Epoch 15, Train ACC: 1.0000, Val ACC: 0.6786
subject_02, Fold 1, Epoch 16, Train ACC: 1.0000, Val ACC: 0.6786
subject_02, Fold 1, Epoch 17, Train ACC: 1.0000, Val ACC: 0.6786
subject_02, Fold 1, Epoch 18, Train ACC: 1.0000, Val ACC: 0.6786
subject_02, Fold 1, Epoch 19, Train ACC: 1.0000, Val ACC: 0.6964
subject_02, Fold 1, Best Epoch: 9, Final Val ACC: 0.6964, Final Val F1: 0.6847

subject_02, Fold 2, Epoch 1, Train ACC: 0.2545, Val ACC: 0.4286
subject_02, Fold 2, Epoch 2, Train ACC: 0.4955, Val ACC: 0.5714
subject_02, Fold 2, Epoch 3, Train ACC: 0.5536, Val ACC: 0.5179
subject_02, Fold 2, Epoch 4, Train ACC: 0.6161, Val ACC: 0.6250
subject_02, Fold 2, Epoch 5, Train ACC: 0.7009, Val ACC: 0.6607
subject_02, Fold 2, Epoch 6, Train ACC: 0.7054, Val ACC: 0.5536
subject_02, Fold 2, Epoch 7, Train ACC: 0.7143, Val ACC: 0.6071
subject_02, Fold 2, Epoch 8, Train ACC: 0.7054, Val ACC: 0.6250
subject_02, Fold 2, Epoch 9, Train ACC: 0.7545, Val ACC: 0.6429
subject_02, Fold 2, Epoch 10, Train ACC: 0.8214, Val ACC: 0.6786
subject_02, Fold 2, Epoch 11, Train ACC: 0.7589, Val ACC: 0.6607
subject_02, Fold 2, Epoch 12, Train ACC: 0.7991, Val ACC: 0.6786
subject_02, Fold 2, Epoch 13, Train ACC: 0.8259, Val ACC: 0.6964
subject_02, Fold 2, Epoch 14, Train ACC: 0.7902, Val ACC: 0.6607
subject_02, Fold 2, Epoch 15, Train ACC: 0.8214, Val ACC: 0.7321
subject_02, Fold 2, Epoch 16, Train ACC: 0.8304, Val ACC: 0.6964
subject_02, Fold 2, Epoch 17, Train ACC: 0.8080, Val ACC: 0.7321
subject_02, Fold 2, Epoch 18, Train ACC: 0.8482, Val ACC: 0.6429
subject_02, Fold 2, Epoch 19, Train ACC: 0.8482, Val ACC: 0.7143
subject_02, Fold 2, Epoch 20, Train ACC: 0.8571, Val ACC: 0.6964
subject_02, Fold 2, Epoch 21, Train ACC: 0.8884, Val ACC: 0.7679
subject_02, Fold 2, Epoch 22, Train ACC: 0.8705, Val ACC: 0.7321
subject_02, Fold 2, Epoch 23, Train ACC: 0.8839, Val ACC: 0.7143
subject_02, Fold 2, Epoch 24, Train ACC: 0.8973, Val ACC: 0.6786
subject_02, Fold 2, Epoch 25, Train ACC: 0.8884, Val ACC: 0.7500
subject_02, Fold 2, Epoch 26, Train ACC: 0.8884, Val ACC: 0.6786
subject_02, Fold 2, Epoch 27, Train ACC: 0.8884, Val ACC: 0.7500
subject_02, Fold 2, Epoch 28, Train ACC: 0.8795, Val ACC: 0.6607
subject_02, Fold 2, Epoch 29, Train ACC: 0.9018, Val ACC: 0.6607
subject_02, Fold 2, Epoch 30, Train ACC: 0.9196, Val ACC: 0.7143
subject_02, Fold 2, Epoch 31, Train ACC: 0.9286, Val ACC: 0.7679
subject_02, Fold 2, Best Epoch: 21, Final Val ACC: 0.7679, Final Val F1: 0.7647

subject_02, Fold 2, Epoch 1, Train ACC: 0.8348, Val ACC: 0.6429
subject_02, Fold 2, Epoch 2, Train ACC: 0.9420, Val ACC: 0.6964
subject_02, Fold 2, Epoch 3, Train ACC: 0.9866, Val ACC: 0.6429
subject_02, Fold 2, Epoch 4, Train ACC: 1.0000, Val ACC: 0.7500
subject_02, Fold 2, Epoch 5, Train ACC: 1.0000, Val ACC: 0.7679
subject_02, Fold 2, Epoch 6, Train ACC: 1.0000, Val ACC: 0.7857
subject_02, Fold 2, Epoch 7, Train ACC: 1.0000, Val ACC: 0.7500
subject_02, Fold 2, Epoch 8, Train ACC: 1.0000, Val ACC: 0.7679
subject_02, Fold 2, Epoch 9, Train ACC: 1.0000, Val ACC: 0.7857
subject_02, Fold 2, Epoch 10, Train ACC: 1.0000, Val ACC: 0.7500
subject_02, Fold 2, Epoch 11, Train ACC: 1.0000, Val ACC: 0.7679
subject_02, Fold 2, Epoch 12, Train ACC: 1.0000, Val ACC: 0.7500
subject_02, Fold 2, Epoch 13, Train ACC: 1.0000, Val ACC: 0.7857
subject_02, Fold 2, Epoch 14, Train ACC: 1.0000, Val ACC: 0.7679
subject_02, Fold 2, Epoch 15, Train ACC: 1.0000, Val ACC: 0.7679
subject_02, Fold 2, Epoch 16, Train ACC: 1.0000, Val ACC: 0.7679
subject_02, Fold 2, Best Epoch: 6, Final Val ACC: 0.7857, Final Val F1: 0.7820

subject_02, Fold 3, Epoch 1, Train ACC: 0.3259, Val ACC: 0.3750
subject_02, Fold 3, Epoch 2, Train ACC: 0.4554, Val ACC: 0.4286
subject_02, Fold 3, Epoch 3, Train ACC: 0.5804, Val ACC: 0.5179
subject_02, Fold 3, Epoch 4, Train ACC: 0.5804, Val ACC: 0.5357
subject_02, Fold 3, Epoch 5, Train ACC: 0.6473, Val ACC: 0.5179
subject_02, Fold 3, Epoch 6, Train ACC: 0.6964, Val ACC: 0.5893
subject_02, Fold 3, Epoch 7, Train ACC: 0.7589, Val ACC: 0.5179
subject_02, Fold 3, Epoch 8, Train ACC: 0.7679, Val ACC: 0.5893
subject_02, Fold 3, Epoch 9, Train ACC: 0.7857, Val ACC: 0.5714
subject_02, Fold 3, Epoch 10, Train ACC: 0.7812, Val ACC: 0.6071
subject_02, Fold 3, Epoch 11, Train ACC: 0.8125, Val ACC: 0.5893
subject_02, Fold 3, Epoch 12, Train ACC: 0.8125, Val ACC: 0.5893
subject_02, Fold 3, Epoch 13, Train ACC: 0.8304, Val ACC: 0.6429
subject_02, Fold 3, Epoch 14, Train ACC: 0.8438, Val ACC: 0.6250
subject_02, Fold 3, Epoch 15, Train ACC: 0.8393, Val ACC: 0.6607
subject_02, Fold 3, Epoch 16, Train ACC: 0.8170, Val ACC: 0.6250
subject_02, Fold 3, Epoch 17, Train ACC: 0.8438, Val ACC: 0.6607
subject_02, Fold 3, Epoch 18, Train ACC: 0.8482, Val ACC: 0.6250
subject_02, Fold 3, Epoch 19, Train ACC: 0.8527, Val ACC: 0.6071
subject_02, Fold 3, Epoch 20, Train ACC: 0.8795, Val ACC: 0.6607
subject_02, Fold 3, Epoch 21, Train ACC: 0.8929, Val ACC: 0.6607
subject_02, Fold 3, Epoch 22, Train ACC: 0.8795, Val ACC: 0.6429
subject_02, Fold 3, Epoch 23, Train ACC: 0.8839, Val ACC: 0.6786
subject_02, Fold 3, Epoch 24, Train ACC: 0.9062, Val ACC: 0.6786
subject_02, Fold 3, Epoch 25, Train ACC: 0.9062, Val ACC: 0.5893
subject_02, Fold 3, Epoch 26, Train ACC: 0.9152, Val ACC: 0.6250
subject_02, Fold 3, Epoch 27, Train ACC: 0.9241, Val ACC: 0.6786
subject_02, Fold 3, Epoch 28, Train ACC: 0.9330, Val ACC: 0.6071
subject_02, Fold 3, Epoch 29, Train ACC: 0.9196, Val ACC: 0.6250
subject_02, Fold 3, Epoch 30, Train ACC: 0.9196, Val ACC: 0.6429
subject_02, Fold 3, Epoch 31, Train ACC: 0.9241, Val ACC: 0.6071
subject_02, Fold 3, Epoch 32, Train ACC: 0.9286, Val ACC: 0.6250
subject_02, Fold 3, Epoch 33, Train ACC: 0.9330, Val ACC: 0.6607
subject_02, Fold 3, Best Epoch: 23, Final Val ACC: 0.6786, Final Val F1: 0.6651

subject_02, Fold 3, Epoch 1, Train ACC: 0.8304, Val ACC: 0.6071
subject_02, Fold 3, Epoch 2, Train ACC: 0.9420, Val ACC: 0.6964
subject_02, Fold 3, Epoch 3, Train ACC: 0.9955, Val ACC: 0.7679
subject_02, Fold 3, Epoch 4, Train ACC: 1.0000, Val ACC: 0.7500
subject_02, Fold 3, Epoch 5, Train ACC: 1.0000, Val ACC: 0.7500
subject_02, Fold 3, Epoch 6, Train ACC: 1.0000, Val ACC: 0.7500
subject_02, Fold 3, Epoch 7, Train ACC: 1.0000, Val ACC: 0.7500
subject_02, Fold 3, Epoch 8, Train ACC: 1.0000, Val ACC: 0.7500
