subject_38, Fold 0, Epoch 1, Train ACC: 0.2589, Val ACC: 0.1964
subject_38, Fold 0, Epoch 2, Train ACC: 0.3527, Val ACC: 0.3214
subject_38, Fold 0, Epoch 3, Train ACC: 0.4152, Val ACC: 0.2857
subject_38, Fold 0, Epoch 4, Train ACC: 0.4420, Val ACC: 0.3214
subject_38, Fold 0, Epoch 5, Train ACC: 0.5179, Val ACC: 0.4286
subject_38, Fold 0, Epoch 6, Train ACC: 0.5491, Val ACC: 0.3750
subject_38, Fold 0, Epoch 7, Train ACC: 0.5000, Val ACC: 0.4464
subject_38, Fold 0, Epoch 8, Train ACC: 0.5804, Val ACC: 0.3750
subject_38, Fold 0, Epoch 9, Train ACC: 0.6027, Val ACC: 0.3750
subject_38, Fold 0, Epoch 10, Train ACC: 0.5670, Val ACC: 0.4286
subject_38, Fold 0, Epoch 11, Train ACC: 0.6295, Val ACC: 0.3750
subject_38, Fold 0, Epoch 12, Train ACC: 0.6339, Val ACC: 0.4464
subject_38, Fold 0, Epoch 13, Train ACC: 0.6607, Val ACC: 0.4107
subject_38, Fold 0, Epoch 14, Train ACC: 0.7009, Val ACC: 0.4107
subject_38, Fold 0, Epoch 15, Train ACC: 0.6607, Val ACC: 0.4643
subject_38, Fold 0, Epoch 16, Train ACC: 0.6786, Val ACC: 0.4643
subject_38, Fold 0, Epoch 17, Train ACC: 0.7143, Val ACC: 0.5179
subject_38, Fold 0, Epoch 18, Train ACC: 0.7366, Val ACC: 0.5179
subject_38, Fold 0, Epoch 19, Train ACC: 0.7366, Val ACC: 0.4286
subject_38, Fold 0, Epoch 20, Train ACC: 0.7188, Val ACC: 0.5000
subject_38, Fold 0, Epoch 21, Train ACC: 0.7411, Val ACC: 0.4643
subject_38, Fold 0, Epoch 22, Train ACC: 0.7098, Val ACC: 0.4821
subject_38, Fold 0, Epoch 23, Train ACC: 0.7589, Val ACC: 0.4286
subject_38, Fold 0, Epoch 24, Train ACC: 0.7723, Val ACC: 0.5000
subject_38, Fold 0, Epoch 25, Train ACC: 0.7634, Val ACC: 0.5179
subject_38, Fold 0, Epoch 26, Train ACC: 0.7679, Val ACC: 0.5000
subject_38, Fold 0, Epoch 27, Train ACC: 0.7723, Val ACC: 0.4643
subject_38, Fold 0, Best Epoch: 17, Final Val ACC: 0.5179, Final Val F1: 0.5103

subject_38, Fold 0, Epoch 1, Train ACC: 0.6295, Val ACC: 0.5000
subject_38, Fold 0, Epoch 2, Train ACC: 0.8661, Val ACC: 0.4464
subject_38, Fold 0, Epoch 3, Train ACC: 0.9241, Val ACC: 0.4643
subject_38, Fold 0, Epoch 4, Train ACC: 0.9732, Val ACC: 0.4643
subject_38, Fold 0, Epoch 5, Train ACC: 1.0000, Val ACC: 0.4464
subject_38, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.4643
subject_38, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.4464
subject_38, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.4821
subject_38, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.4464
subject_38, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.4464
subject_38, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.4643
subject_38, Fold 0, Best Epoch: 1, Final Val ACC: 0.5000, Final Val F1: 0.4857

subject_38, Fold 1, Epoch 1, Train ACC: 0.1429, Val ACC: 0.1607
subject_38, Fold 1, Epoch 2, Train ACC: 0.2768, Val ACC: 0.2679
subject_38, Fold 1, Epoch 3, Train ACC: 0.3661, Val ACC: 0.4286
subject_38, Fold 1, Epoch 4, Train ACC: 0.4196, Val ACC: 0.3750
subject_38, Fold 1, Epoch 5, Train ACC: 0.5089, Val ACC: 0.4643
subject_38, Fold 1, Epoch 6, Train ACC: 0.5045, Val ACC: 0.4286
subject_38, Fold 1, Epoch 7, Train ACC: 0.5536, Val ACC: 0.3750
subject_38, Fold 1, Epoch 8, Train ACC: 0.5759, Val ACC: 0.4286
subject_38, Fold 1, Epoch 9, Train ACC: 0.5893, Val ACC: 0.4464
subject_38, Fold 1, Epoch 10, Train ACC: 0.6205, Val ACC: 0.4464
subject_38, Fold 1, Epoch 11, Train ACC: 0.6295, Val ACC: 0.4107
subject_38, Fold 1, Epoch 12, Train ACC: 0.6518, Val ACC: 0.4107
subject_38, Fold 1, Epoch 13, Train ACC: 0.5982, Val ACC: 0.5179
subject_38, Fold 1, Epoch 14, Train ACC: 0.6205, Val ACC: 0.4286
subject_38, Fold 1, Epoch 15, Train ACC: 0.6027, Val ACC: 0.4643
subject_38, Fold 1, Epoch 16, Train ACC: 0.6562, Val ACC: 0.4286
subject_38, Fold 1, Epoch 17, Train ACC: 0.6875, Val ACC: 0.3929
subject_38, Fold 1, Epoch 18, Train ACC: 0.7009, Val ACC: 0.4464
subject_38, Fold 1, Epoch 19, Train ACC: 0.7009, Val ACC: 0.4464
subject_38, Fold 1, Epoch 20, Train ACC: 0.7589, Val ACC: 0.4643
subject_38, Fold 1, Epoch 21, Train ACC: 0.7009, Val ACC: 0.4286
subject_38, Fold 1, Epoch 22, Train ACC: 0.7455, Val ACC: 0.4643
subject_38, Fold 1, Epoch 23, Train ACC: 0.7321, Val ACC: 0.4107
subject_38, Fold 1, Best Epoch: 13, Final Val ACC: 0.5179, Final Val F1: 0.5051

subject_38, Fold 1, Epoch 1, Train ACC: 0.5625, Val ACC: 0.5357
subject_38, Fold 1, Epoch 2, Train ACC: 0.7009, Val ACC: 0.5179
subject_38, Fold 1, Epoch 3, Train ACC: 0.9062, Val ACC: 0.5357
subject_38, Fold 1, Epoch 4, Train ACC: 0.9554, Val ACC: 0.4464
subject_38, Fold 1, Epoch 5, Train ACC: 0.9777, Val ACC: 0.5357
subject_38, Fold 1, Epoch 6, Train ACC: 0.9955, Val ACC: 0.5536
subject_38, Fold 1, Epoch 7, Train ACC: 1.0000, Val ACC: 0.5536
subject_38, Fold 1, Epoch 8, Train ACC: 1.0000, Val ACC: 0.5714
subject_38, Fold 1, Epoch 9, Train ACC: 1.0000, Val ACC: 0.5893
subject_38, Fold 1, Epoch 10, Train ACC: 1.0000, Val ACC: 0.5536
subject_38, Fold 1, Epoch 11, Train ACC: 1.0000, Val ACC: 0.5714
subject_38, Fold 1, Epoch 12, Train ACC: 1.0000, Val ACC: 0.6250
subject_38, Fold 1, Epoch 13, Train ACC: 1.0000, Val ACC: 0.6071
subject_38, Fold 1, Epoch 14, Train ACC: 1.0000, Val ACC: 0.5714
subject_38, Fold 1, Epoch 15, Train ACC: 1.0000, Val ACC: 0.6250
subject_38, Fold 1, Epoch 16, Train ACC: 1.0000, Val ACC: 0.6250
subject_38, Fold 1, Epoch 17, Train ACC: 1.0000, Val ACC: 0.5714
subject_38, Fold 1, Epoch 18, Train ACC: 1.0000, Val ACC: 0.5893
subject_38, Fold 1, Epoch 19, Train ACC: 1.0000, Val ACC: 0.6250
subject_38, Fold 1, Epoch 20, Train ACC: 1.0000, Val ACC: 0.5893
subject_38, Fold 1, Epoch 21, Train ACC: 1.0000, Val ACC: 0.6071
subject_38, Fold 1, Epoch 22, Train ACC: 1.0000, Val ACC: 0.6071
subject_38, Fold 1, Best Epoch: 12, Final Val ACC: 0.6250, Final Val F1: 0.6149

subject_38, Fold 2, Epoch 1, Train ACC: 0.1830, Val ACC: 0.2143
subject_38, Fold 2, Epoch 2, Train ACC: 0.3036, Val ACC: 0.4107
subject_38, Fold 2, Epoch 3, Train ACC: 0.3214, Val ACC: 0.3393
subject_38, Fold 2, Epoch 4, Train ACC: 0.4196, Val ACC: 0.3929
subject_38, Fold 2, Epoch 5, Train ACC: 0.5179, Val ACC: 0.4464
subject_38, Fold 2, Epoch 6, Train ACC: 0.5134, Val ACC: 0.3750
subject_38, Fold 2, Epoch 7, Train ACC: 0.4866, Val ACC: 0.4107
subject_38, Fold 2, Epoch 8, Train ACC: 0.5580, Val ACC: 0.4107
subject_38, Fold 2, Epoch 9, Train ACC: 0.5536, Val ACC: 0.4286
subject_38, Fold 2, Epoch 10, Train ACC: 0.6116, Val ACC: 0.4643
subject_38, Fold 2, Epoch 11, Train ACC: 0.5982, Val ACC: 0.4286
subject_38, Fold 2, Epoch 12, Train ACC: 0.6429, Val ACC: 0.4107
subject_38, Fold 2, Epoch 13, Train ACC: 0.6384, Val ACC: 0.4107
subject_38, Fold 2, Epoch 14, Train ACC: 0.6830, Val ACC: 0.3929
subject_38, Fold 2, Epoch 15, Train ACC: 0.7009, Val ACC: 0.4464
subject_38, Fold 2, Epoch 16, Train ACC: 0.6786, Val ACC: 0.4107
