subject_16, Fold 0, Epoch 1, Train ACC: 0.2009, Val ACC: 0.3214
subject_16, Fold 0, Epoch 2, Train ACC: 0.2812, Val ACC: 0.3214
subject_16, Fold 0, Epoch 3, Train ACC: 0.4018, Val ACC: 0.3750
subject_16, Fold 0, Epoch 4, Train ACC: 0.4598, Val ACC: 0.3929
subject_16, Fold 0, Epoch 5, Train ACC: 0.5089, Val ACC: 0.3929
subject_16, Fold 0, Epoch 6, Train ACC: 0.5179, Val ACC: 0.3929
subject_16, Fold 0, Epoch 7, Train ACC: 0.4955, Val ACC: 0.3214
subject_16, Fold 0, Epoch 8, Train ACC: 0.4821, Val ACC: 0.3929
subject_16, Fold 0, Epoch 9, Train ACC: 0.5491, Val ACC: 0.4464
subject_16, Fold 0, Epoch 10, Train ACC: 0.6473, Val ACC: 0.4107
subject_16, Fold 0, Epoch 11, Train ACC: 0.5759, Val ACC: 0.4286
subject_16, Fold 0, Epoch 12, Train ACC: 0.6161, Val ACC: 0.5179
subject_16, Fold 0, Epoch 13, Train ACC: 0.5759, Val ACC: 0.5536
subject_16, Fold 0, Epoch 14, Train ACC: 0.6339, Val ACC: 0.5000
subject_16, Fold 0, Epoch 15, Train ACC: 0.6696, Val ACC: 0.5000
subject_16, Fold 0, Epoch 16, Train ACC: 0.6339, Val ACC: 0.4643
subject_16, Fold 0, Epoch 17, Train ACC: 0.6964, Val ACC: 0.5357
subject_16, Fold 0, Epoch 18, Train ACC: 0.6875, Val ACC: 0.5357
subject_16, Fold 0, Epoch 19, Train ACC: 0.7054, Val ACC: 0.5893
subject_16, Fold 0, Epoch 20, Train ACC: 0.6964, Val ACC: 0.5000
subject_16, Fold 0, Epoch 21, Train ACC: 0.7232, Val ACC: 0.5536
subject_16, Fold 0, Epoch 22, Train ACC: 0.6652, Val ACC: 0.5357
subject_16, Fold 0, Epoch 23, Train ACC: 0.6964, Val ACC: 0.5357
subject_16, Fold 0, Epoch 24, Train ACC: 0.7009, Val ACC: 0.5536
subject_16, Fold 0, Epoch 25, Train ACC: 0.6786, Val ACC: 0.5179
subject_16, Fold 0, Epoch 26, Train ACC: 0.7545, Val ACC: 0.5179
subject_16, Fold 0, Epoch 27, Train ACC: 0.7321, Val ACC: 0.5179
subject_16, Fold 0, Epoch 28, Train ACC: 0.7098, Val ACC: 0.5714
subject_16, Fold 0, Epoch 29, Train ACC: 0.7679, Val ACC: 0.5357
subject_16, Fold 0, Best Epoch: 19, Final Val ACC: 0.5893, Final Val F1: 0.5824

subject_16, Fold 0, Epoch 1, Train ACC: 0.6205, Val ACC: 0.5000
subject_16, Fold 0, Epoch 2, Train ACC: 0.7857, Val ACC: 0.6071
subject_16, Fold 0, Epoch 3, Train ACC: 0.9196, Val ACC: 0.5893
subject_16, Fold 0, Epoch 4, Train ACC: 0.9866, Val ACC: 0.5357
subject_16, Fold 0, Epoch 5, Train ACC: 0.9955, Val ACC: 0.6071
subject_16, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.5536
subject_16, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 0, Epoch 12, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 0, Best Epoch: 2, Final Val ACC: 0.6071, Final Val F1: 0.6054

subject_16, Fold 1, Epoch 1, Train ACC: 0.2277, Val ACC: 0.2500
subject_16, Fold 1, Epoch 2, Train ACC: 0.2768, Val ACC: 0.4107
subject_16, Fold 1, Epoch 3, Train ACC: 0.4330, Val ACC: 0.3214
subject_16, Fold 1, Epoch 4, Train ACC: 0.4107, Val ACC: 0.5179
subject_16, Fold 1, Epoch 5, Train ACC: 0.4554, Val ACC: 0.4464
subject_16, Fold 1, Epoch 6, Train ACC: 0.4375, Val ACC: 0.4464
subject_16, Fold 1, Epoch 7, Train ACC: 0.5045, Val ACC: 0.4107
subject_16, Fold 1, Epoch 8, Train ACC: 0.5536, Val ACC: 0.4107
subject_16, Fold 1, Epoch 9, Train ACC: 0.5848, Val ACC: 0.5000
subject_16, Fold 1, Epoch 10, Train ACC: 0.5982, Val ACC: 0.5179
subject_16, Fold 1, Epoch 11, Train ACC: 0.6205, Val ACC: 0.5000
subject_16, Fold 1, Epoch 12, Train ACC: 0.6607, Val ACC: 0.5179
subject_16, Fold 1, Epoch 13, Train ACC: 0.6429, Val ACC: 0.5714
subject_16, Fold 1, Epoch 14, Train ACC: 0.6652, Val ACC: 0.5357
subject_16, Fold 1, Epoch 15, Train ACC: 0.6652, Val ACC: 0.5000
subject_16, Fold 1, Epoch 16, Train ACC: 0.6518, Val ACC: 0.4464
subject_16, Fold 1, Epoch 17, Train ACC: 0.6429, Val ACC: 0.5179
subject_16, Fold 1, Epoch 18, Train ACC: 0.6652, Val ACC: 0.5714
subject_16, Fold 1, Epoch 19, Train ACC: 0.6518, Val ACC: 0.5536
subject_16, Fold 1, Epoch 20, Train ACC: 0.7277, Val ACC: 0.5357
subject_16, Fold 1, Epoch 21, Train ACC: 0.6696, Val ACC: 0.5536
subject_16, Fold 1, Epoch 22, Train ACC: 0.6652, Val ACC: 0.5893
subject_16, Fold 1, Epoch 23, Train ACC: 0.7232, Val ACC: 0.5357
subject_16, Fold 1, Epoch 24, Train ACC: 0.7232, Val ACC: 0.5714
subject_16, Fold 1, Epoch 25, Train ACC: 0.7188, Val ACC: 0.5179
subject_16, Fold 1, Epoch 26, Train ACC: 0.7321, Val ACC: 0.5357
subject_16, Fold 1, Epoch 27, Train ACC: 0.7500, Val ACC: 0.5714
subject_16, Fold 1, Epoch 28, Train ACC: 0.7455, Val ACC: 0.5357
subject_16, Fold 1, Epoch 29, Train ACC: 0.7455, Val ACC: 0.5357
subject_16, Fold 1, Epoch 30, Train ACC: 0.7589, Val ACC: 0.5179
subject_16, Fold 1, Epoch 31, Train ACC: 0.7902, Val ACC: 0.5000
subject_16, Fold 1, Epoch 32, Train ACC: 0.7946, Val ACC: 0.5000
subject_16, Fold 1, Best Epoch: 22, Final Val ACC: 0.5893, Final Val F1: 0.5824

subject_16, Fold 1, Epoch 1, Train ACC: 0.6429, Val ACC: 0.3571
subject_16, Fold 1, Epoch 2, Train ACC: 0.8214, Val ACC: 0.5714
subject_16, Fold 1, Epoch 3, Train ACC: 0.9286, Val ACC: 0.5893
subject_16, Fold 1, Epoch 4, Train ACC: 0.9955, Val ACC: 0.5536
subject_16, Fold 1, Epoch 5, Train ACC: 1.0000, Val ACC: 0.5893
subject_16, Fold 1, Epoch 6, Train ACC: 1.0000, Val ACC: 0.5893
subject_16, Fold 1, Epoch 7, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 1, Epoch 8, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 1, Epoch 9, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 1, Epoch 10, Train ACC: 1.0000, Val ACC: 0.5893
subject_16, Fold 1, Epoch 11, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 1, Epoch 12, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 1, Epoch 13, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 1, Epoch 14, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 1, Epoch 15, Train ACC: 1.0000, Val ACC: 0.6071
subject_16, Fold 1, Epoch 16, Train ACC: 1.0000, Val ACC: 0.6071
