subject_39, Fold 0, Epoch 1, Train ACC: 0.2946, Val ACC: 0.5357
subject_39, Fold 0, Epoch 2, Train ACC: 0.5312, Val ACC: 0.6250
subject_39, Fold 0, Epoch 3, Train ACC: 0.6161, Val ACC: 0.5714
subject_39, Fold 0, Epoch 4, Train ACC: 0.6652, Val ACC: 0.6786
subject_39, Fold 0, Epoch 5, Train ACC: 0.6920, Val ACC: 0.6607
subject_39, Fold 0, Epoch 6, Train ACC: 0.7143, Val ACC: 0.6607
subject_39, Fold 0, Epoch 7, Train ACC: 0.7277, Val ACC: 0.6071
subject_39, Fold 0, Epoch 8, Train ACC: 0.7455, Val ACC: 0.7500
subject_39, Fold 0, Epoch 9, Train ACC: 0.7455, Val ACC: 0.7679
subject_39, Fold 0, Epoch 10, Train ACC: 0.7455, Val ACC: 0.7321
subject_39, Fold 0, Epoch 11, Train ACC: 0.7902, Val ACC: 0.7321
subject_39, Fold 0, Epoch 12, Train ACC: 0.8214, Val ACC: 0.7321
subject_39, Fold 0, Epoch 13, Train ACC: 0.8080, Val ACC: 0.6786
subject_39, Fold 0, Epoch 14, Train ACC: 0.8080, Val ACC: 0.7321
subject_39, Fold 0, Epoch 15, Train ACC: 0.7991, Val ACC: 0.7857
subject_39, Fold 0, Epoch 16, Train ACC: 0.8571, Val ACC: 0.7321
subject_39, Fold 0, Epoch 17, Train ACC: 0.8616, Val ACC: 0.7679
subject_39, Fold 0, Epoch 18, Train ACC: 0.8348, Val ACC: 0.7679
subject_39, Fold 0, Epoch 19, Train ACC: 0.8705, Val ACC: 0.7321
subject_39, Fold 0, Epoch 20, Train ACC: 0.8661, Val ACC: 0.7679
subject_39, Fold 0, Epoch 21, Train ACC: 0.8795, Val ACC: 0.7857
subject_39, Fold 0, Epoch 22, Train ACC: 0.8973, Val ACC: 0.7857
subject_39, Fold 0, Epoch 23, Train ACC: 0.8616, Val ACC: 0.7857
subject_39, Fold 0, Epoch 24, Train ACC: 0.8616, Val ACC: 0.7500
subject_39, Fold 0, Epoch 25, Train ACC: 0.8750, Val ACC: 0.8036
subject_39, Fold 0, Epoch 26, Train ACC: 0.8973, Val ACC: 0.8036
subject_39, Fold 0, Epoch 27, Train ACC: 0.9018, Val ACC: 0.8036
subject_39, Fold 0, Epoch 28, Train ACC: 0.8839, Val ACC: 0.7500
subject_39, Fold 0, Epoch 29, Train ACC: 0.9018, Val ACC: 0.7857
subject_39, Fold 0, Epoch 30, Train ACC: 0.9018, Val ACC: 0.7857
subject_39, Fold 0, Epoch 31, Train ACC: 0.9107, Val ACC: 0.7679
subject_39, Fold 0, Epoch 32, Train ACC: 0.8973, Val ACC: 0.8036
subject_39, Fold 0, Epoch 33, Train ACC: 0.9286, Val ACC: 0.7857
subject_39, Fold 0, Epoch 34, Train ACC: 0.9152, Val ACC: 0.8036
