subject_29, Fold 0, Epoch 1, Train ACC: 0.2634, Val ACC: 0.3393
subject_29, Fold 0, Epoch 2, Train ACC: 0.3393, Val ACC: 0.3929
subject_29, Fold 0, Epoch 3, Train ACC: 0.4777, Val ACC: 0.3750
subject_29, Fold 0, Epoch 4, Train ACC: 0.5357, Val ACC: 0.3929
subject_29, Fold 0, Epoch 5, Train ACC: 0.5625, Val ACC: 0.5000
subject_29, Fold 0, Epoch 6, Train ACC: 0.6295, Val ACC: 0.3214
subject_29, Fold 0, Epoch 7, Train ACC: 0.5938, Val ACC: 0.4643
subject_29, Fold 0, Epoch 8, Train ACC: 0.6786, Val ACC: 0.3750
subject_29, Fold 0, Epoch 9, Train ACC: 0.6161, Val ACC: 0.5179
subject_29, Fold 0, Epoch 10, Train ACC: 0.6786, Val ACC: 0.4286
subject_29, Fold 0, Epoch 11, Train ACC: 0.6786, Val ACC: 0.5000
subject_29, Fold 0, Epoch 12, Train ACC: 0.7277, Val ACC: 0.4821
subject_29, Fold 0, Epoch 13, Train ACC: 0.7098, Val ACC: 0.5179
subject_29, Fold 0, Epoch 14, Train ACC: 0.7500, Val ACC: 0.5357
subject_29, Fold 0, Epoch 15, Train ACC: 0.7009, Val ACC: 0.3750
subject_29, Fold 0, Epoch 16, Train ACC: 0.6964, Val ACC: 0.5000
subject_29, Fold 0, Epoch 17, Train ACC: 0.7232, Val ACC: 0.5357
subject_29, Fold 0, Epoch 18, Train ACC: 0.7545, Val ACC: 0.5893
subject_29, Fold 0, Epoch 19, Train ACC: 0.7545, Val ACC: 0.5536
subject_29, Fold 0, Epoch 20, Train ACC: 0.7679, Val ACC: 0.5000
subject_29, Fold 0, Epoch 21, Train ACC: 0.7812, Val ACC: 0.4821
subject_29, Fold 0, Epoch 22, Train ACC: 0.7411, Val ACC: 0.5179
subject_29, Fold 0, Epoch 23, Train ACC: 0.7634, Val ACC: 0.5357
subject_29, Fold 0, Epoch 24, Train ACC: 0.7946, Val ACC: 0.5179
subject_29, Fold 0, Epoch 25, Train ACC: 0.8125, Val ACC: 0.5179
subject_29, Fold 0, Epoch 26, Train ACC: 0.8259, Val ACC: 0.5000
subject_29, Fold 0, Epoch 27, Train ACC: 0.7857, Val ACC: 0.5179
subject_29, Fold 0, Epoch 28, Train ACC: 0.8125, Val ACC: 0.5179
subject_29, Fold 0, Best Epoch: 18, Final Val ACC: 0.5893, Final Val F1: 0.5754

subject_29, Fold 0, Epoch 1, Train ACC: 0.7054, Val ACC: 0.5536
subject_29, Fold 0, Epoch 2, Train ACC: 0.8482, Val ACC: 0.5714
subject_29, Fold 0, Epoch 3, Train ACC: 0.9554, Val ACC: 0.6429
subject_29, Fold 0, Epoch 4, Train ACC: 1.0000, Val ACC: 0.5893
subject_29, Fold 0, Epoch 5, Train ACC: 1.0000, Val ACC: 0.5893
subject_29, Fold 0, Epoch 6, Train ACC: 1.0000, Val ACC: 0.6071
subject_29, Fold 0, Epoch 7, Train ACC: 1.0000, Val ACC: 0.5714
subject_29, Fold 0, Epoch 8, Train ACC: 1.0000, Val ACC: 0.5893
subject_29, Fold 0, Epoch 9, Train ACC: 1.0000, Val ACC: 0.5714
subject_29, Fold 0, Epoch 10, Train ACC: 1.0000, Val ACC: 0.5714
subject_29, Fold 0, Epoch 11, Train ACC: 1.0000, Val ACC: 0.5714
subject_29, Fold 0, Epoch 12, Train ACC: 1.0000, Val ACC: 0.5536
subject_29, Fold 0, Epoch 13, Train ACC: 1.0000, Val ACC: 0.5536
subject_29, Fold 0, Best Epoch: 3, Final Val ACC: 0.6429, Final Val F1: 0.6368

subject_29, Fold 1, Epoch 1, Train ACC: 0.2098, Val ACC: 0.2143
subject_29, Fold 1, Epoch 2, Train ACC: 0.4062, Val ACC: 0.2679
subject_29, Fold 1, Epoch 3, Train ACC: 0.3750, Val ACC: 0.3571
subject_29, Fold 1, Epoch 4, Train ACC: 0.4554, Val ACC: 0.3393
subject_29, Fold 1, Epoch 5, Train ACC: 0.4955, Val ACC: 0.3214
subject_29, Fold 1, Epoch 6, Train ACC: 0.5536, Val ACC: 0.4286
subject_29, Fold 1, Epoch 7, Train ACC: 0.5893, Val ACC: 0.3393
subject_29, Fold 1, Epoch 8, Train ACC: 0.5804, Val ACC: 0.4821
subject_29, Fold 1, Epoch 9, Train ACC: 0.6027, Val ACC: 0.4821
subject_29, Fold 1, Epoch 10, Train ACC: 0.6786, Val ACC: 0.4286
subject_29, Fold 1, Epoch 11, Train ACC: 0.6920, Val ACC: 0.4821
subject_29, Fold 1, Epoch 12, Train ACC: 0.6384, Val ACC: 0.5000
subject_29, Fold 1, Epoch 13, Train ACC: 0.6786, Val ACC: 0.4821
subject_29, Fold 1, Epoch 14, Train ACC: 0.7143, Val ACC: 0.5000
subject_29, Fold 1, Epoch 15, Train ACC: 0.6607, Val ACC: 0.4464
subject_29, Fold 1, Epoch 16, Train ACC: 0.6964, Val ACC: 0.4821
subject_29, Fold 1, Epoch 17, Train ACC: 0.6741, Val ACC: 0.5000
subject_29, Fold 1, Epoch 18, Train ACC: 0.7143, Val ACC: 0.5179
subject_29, Fold 1, Epoch 19, Train ACC: 0.7321, Val ACC: 0.5357
subject_29, Fold 1, Epoch 20, Train ACC: 0.7098, Val ACC: 0.4464
subject_29, Fold 1, Epoch 21, Train ACC: 0.7411, Val ACC: 0.5357
subject_29, Fold 1, Epoch 22, Train ACC: 0.7589, Val ACC: 0.4821
subject_29, Fold 1, Epoch 23, Train ACC: 0.7679, Val ACC: 0.5357
subject_29, Fold 1, Epoch 24, Train ACC: 0.7946, Val ACC: 0.4643
subject_29, Fold 1, Epoch 25, Train ACC: 0.7857, Val ACC: 0.5714
subject_29, Fold 1, Epoch 26, Train ACC: 0.7857, Val ACC: 0.5357
subject_29, Fold 1, Epoch 27, Train ACC: 0.7991, Val ACC: 0.5357
subject_29, Fold 1, Epoch 28, Train ACC: 0.8170, Val ACC: 0.5000
subject_29, Fold 1, Epoch 29, Train ACC: 0.7946, Val ACC: 0.5000
subject_29, Fold 1, Epoch 30, Train ACC: 0.7634, Val ACC: 0.5179
subject_29, Fold 1, Epoch 31, Train ACC: 0.7991, Val ACC: 0.5893
subject_29, Fold 1, Epoch 32, Train ACC: 0.8348, Val ACC: 0.5893
subject_29, Fold 1, Epoch 33, Train ACC: 0.8214, Val ACC: 0.5179
