subject_05, Epoch 14, Test Accuracy: 50.83%
subject_05, Epoch 15, Test Accuracy: 51.67%
subject_06, Epoch 1, Test Accuracy: 41.67%
subject_06, Epoch 2, Test Accuracy: 57.50%
subject_06, Epoch 3, Test Accuracy: 55.00%
subject_06, Epoch 4, Test Accuracy: 55.83%
subject_06, Epoch 5, Test Accuracy: 61.67%
subject_06, Epoch 6, Test Accuracy: 66.67%
subject_06, Epoch 7, Test Accuracy: 65.83%
subject_06, Epoch 8, Test Accuracy: 67.50%
subject_06, Epoch 9, Test Accuracy: 68.33%
subject_06, Epoch 10, Test Accuracy: 64.17%
subject_06, Epoch 1, Test Accuracy: 79.17%
subject_06, Epoch 2, Test Accuracy: 75.83%
subject_06, Epoch 3, Test Accuracy: 80.00%
subject_06, Epoch 4, Test Accuracy: 80.00%
subject_06, Epoch 5, Test Accuracy: 80.00%
subject_06, Epoch 6, Test Accuracy: 79.17%
subject_06, Epoch 7, Test Accuracy: 81.67%
subject_06, Epoch 8, Test Accuracy: 82.50%
subject_06, Epoch 9, Test Accuracy: 82.50%
subject_06, Epoch 10, Test Accuracy: 81.67%
subject_06, Epoch 11, Test Accuracy: 80.83%
subject_06, Epoch 12, Test Accuracy: 82.50%
subject_06, Epoch 13, Test Accuracy: 81.67%
subject_06, Epoch 14, Test Accuracy: 81.67%
subject_06, Epoch 15, Test Accuracy: 81.67%
subject_07, Epoch 1, Test Accuracy: 30.83%
subject_07, Epoch 2, Test Accuracy: 45.00%
subject_07, Epoch 3, Test Accuracy: 45.00%
subject_07, Epoch 4, Test Accuracy: 49.17%
subject_07, Epoch 5, Test Accuracy: 47.50%
subject_07, Epoch 6, Test Accuracy: 47.50%
subject_07, Epoch 7, Test Accuracy: 46.67%
subject_07, Epoch 8, Test Accuracy: 48.33%
subject_07, Epoch 9, Test Accuracy: 46.67%
subject_07, Epoch 10, Test Accuracy: 50.83%
subject_07, Epoch 1, Test Accuracy: 52.50%
subject_07, Epoch 2, Test Accuracy: 53.33%
subject_07, Epoch 3, Test Accuracy: 60.83%
subject_07, Epoch 4, Test Accuracy: 54.17%
subject_07, Epoch 5, Test Accuracy: 54.17%
subject_07, Epoch 6, Test Accuracy: 55.83%
subject_07, Epoch 7, Test Accuracy: 57.50%
subject_07, Epoch 8, Test Accuracy: 56.67%
subject_07, Epoch 9, Test Accuracy: 57.50%
subject_07, Epoch 10, Test Accuracy: 55.00%
subject_07, Epoch 11, Test Accuracy: 55.83%
subject_07, Epoch 12, Test Accuracy: 55.00%
subject_07, Epoch 13, Test Accuracy: 55.00%
subject_07, Epoch 14, Test Accuracy: 55.00%
subject_07, Epoch 15, Test Accuracy: 55.83%
subject_08, Epoch 1, Test Accuracy: 27.50%
subject_08, Epoch 2, Test Accuracy: 36.67%
subject_08, Epoch 3, Test Accuracy: 38.33%
subject_08, Epoch 4, Test Accuracy: 45.83%
subject_08, Epoch 5, Test Accuracy: 36.67%
subject_08, Epoch 6, Test Accuracy: 42.50%
subject_08, Epoch 7, Test Accuracy: 46.67%
subject_08, Epoch 8, Test Accuracy: 46.67%
subject_08, Epoch 9, Test Accuracy: 41.67%
subject_08, Epoch 10, Test Accuracy: 46.67%
subject_08, Epoch 1, Test Accuracy: 43.33%
subject_08, Epoch 2, Test Accuracy: 46.67%
subject_08, Epoch 3, Test Accuracy: 45.83%
subject_08, Epoch 4, Test Accuracy: 46.67%
subject_08, Epoch 5, Test Accuracy: 44.17%
subject_08, Epoch 6, Test Accuracy: 45.00%
subject_08, Epoch 7, Test Accuracy: 45.83%
subject_08, Epoch 8, Test Accuracy: 45.00%
subject_08, Epoch 9, Test Accuracy: 45.00%
subject_08, Epoch 10, Test Accuracy: 44.17%
subject_08, Epoch 11, Test Accuracy: 44.17%
subject_08, Epoch 12, Test Accuracy: 44.17%
subject_08, Epoch 13, Test Accuracy: 45.00%
subject_08, Epoch 14, Test Accuracy: 43.33%
subject_08, Epoch 15, Test Accuracy: 44.17%
subject_09, Epoch 1, Test Accuracy: 33.33%
subject_09, Epoch 2, Test Accuracy: 37.50%
subject_09, Epoch 3, Test Accuracy: 40.83%
subject_09, Epoch 4, Test Accuracy: 42.50%
subject_09, Epoch 5, Test Accuracy: 42.50%
subject_09, Epoch 6, Test Accuracy: 50.00%
subject_09, Epoch 7, Test Accuracy: 51.67%
subject_09, Epoch 8, Test Accuracy: 52.50%
subject_09, Epoch 9, Test Accuracy: 51.67%
subject_09, Epoch 10, Test Accuracy: 52.50%
subject_09, Epoch 1, Test Accuracy: 55.00%
subject_09, Epoch 2, Test Accuracy: 55.83%
subject_09, Epoch 3, Test Accuracy: 59.17%
subject_09, Epoch 4, Test Accuracy: 60.83%
subject_09, Epoch 5, Test Accuracy: 63.33%
subject_09, Epoch 6, Test Accuracy: 63.33%
subject_09, Epoch 7, Test Accuracy: 64.17%
subject_09, Epoch 8, Test Accuracy: 65.83%
subject_09, Epoch 9, Test Accuracy: 64.17%
subject_09, Epoch 10, Test Accuracy: 65.00%
subject_09, Epoch 11, Test Accuracy: 64.17%
subject_09, Epoch 12, Test Accuracy: 63.33%
subject_09, Epoch 13, Test Accuracy: 63.33%
subject_09, Epoch 14, Test Accuracy: 64.17%
subject_09, Epoch 15, Test Accuracy: 64.17%
subject_10, Epoch 1, Test Accuracy: 35.83%
subject_10, Epoch 2, Test Accuracy: 45.83%
subject_10, Epoch 3, Test Accuracy: 48.33%
subject_10, Epoch 4, Test Accuracy: 49.17%
subject_10, Epoch 5, Test Accuracy: 53.33%
subject_10, Epoch 6, Test Accuracy: 49.17%
subject_10, Epoch 7, Test Accuracy: 55.00%
subject_10, Epoch 8, Test Accuracy: 55.83%
subject_10, Epoch 9, Test Accuracy: 57.50%
subject_10, Epoch 10, Test Accuracy: 50.83%
subject_10, Epoch 1, Test Accuracy: 45.00%
subject_10, Epoch 2, Test Accuracy: 50.00%
subject_10, Epoch 3, Test Accuracy: 51.67%
subject_10, Epoch 4, Test Accuracy: 55.83%
subject_10, Epoch 5, Test Accuracy: 52.50%
subject_10, Epoch 6, Test Accuracy: 54.17%
subject_10, Epoch 7, Test Accuracy: 52.50%
subject_10, Epoch 8, Test Accuracy: 53.33%
subject_10, Epoch 9, Test Accuracy: 52.50%
subject_10, Epoch 10, Test Accuracy: 52.50%
subject_10, Epoch 11, Test Accuracy: 52.50%
subject_10, Epoch 12, Test Accuracy: 51.67%
subject_10, Epoch 13, Test Accuracy: 55.00%
subject_10, Epoch 14, Test Accuracy: 52.50%
subject_10, Epoch 15, Test Accuracy: 52.50%
